카페id,카페이름,item(추정),price(원),raw,source,context
1982329988,esc2,아메리카노,5300,"5,300원",strict,"랑 자두랑 올거라 그 때 먹어보기로 :> 저의 선택은 샌드위치 5,300원 음료는 아이스 아메리카노 5,000원 처음 온 카페는 시그니처"
1982329988,esc2,아메리카노,5000,"5,000원",strict,"> 저의 선택은 샌드위치 5,300원 음료는 아이스 아메리카노 5,000원 처음 온 카페는 시그니처 아니면 아메리카노인데 샌드위치랑 먹기"
1982329988,esc2,말차,4500,"4,500원",strict," 말차 까눌레가 꽤나 먹음직스럽게 느껴지더라고요 버터 프레첼도 4,500원으로 가격적인 면에서도 가성비 있고 빵 겉면도 바삭해 보이니 앙"
1982329988,esc2,,5300,"5,300원",strict,"을 땐 무조건 야외거든요 !! 넘 좋았어요 ~ 캐모마일 hot 5,300원 화이트 모찌 롤 5,000원 음료가 넘 작은 사이즈라서 아쉽 "
1982329988,esc2,,5000,"5,000원",strict," 넘 좋았어요 ~ 캐모마일 hot 5,300원 화이트 모찌 롤 5,000원 음료가 넘 작은 사이즈라서 아쉽 모찌롤은 겉에가 좀 말라서 아"
1982329988,esc2,케이크,8000,"8,000원",strict,"말라서 아쉽 ㅜ 그래도 맛은 괜찮았어요 블루베리 요거트 케이크 8,000원 배고파서 추가로 주문한 케이크 상큼하고 요것도 괜찮 ! 야외 "
37880440,갱소년,,9900,"9,900원",strict,"유명한 것도 아닌데. 심지어 12개 들어있는 생과일 곤약젤리가 9,900원 이라는데 솔직히 좀 돈아깝잖아여. 근데 뭐 어쩌겠어요. 먹고싶"
37880440,갱소년,토스트,9900,"9,900원",strict,"도? 광주 디저트 맛집 메뉴판 이에요. 앞서말했듯이 곤약젤리가 9,900원 구슬양갱 12구가 15,000원 양갱토스트나 이런 것들도 팔고"
37880440,갱소년,토스트,15000,"15,000원",strict,"이에요. 앞서말했듯이 곤약젤리가 9,900원 구슬양갱 12구가 15,000원 양갱토스트나 이런 것들도 팔고 있으니 양갱 좋아하시는 분들은 "
37880440,갱소년,,14000,"14,000원",strict," 모나카etc... 우리가 주문한건 이거! 갱소년 2인세트 ( 14,000원 ) 갱소년 시즌음료1 + 드립커피 + 양갱플레이트 택1 이 구"
37880440,갱소년,,4500,"4,500원",strict,"송정역시장 공영주차장 (1시간 무료주차 등록) 가격: 드립커피 4,500원 오늘은 광주 여행때 방문한 광주송정역 1913송정역시장 근처 "
37880440,갱소년,,15000,"15,000원",strict,"양갱은 포장도 고급지구 선물하기 좋아보여요. 12구 선물세트가 15,000원이에요. 2022년에는 광주광역시 대표관광상품으로도 선정되었다고"
37880440,갱소년,,3500,"3,500원",strict," 드립커피(4,500원) 두잔이랑, 구슬양갱 플레이트 3피스 (3,500원) 주문했어요. 우선 드립커피가 이렇게 저렴한 곳은 진짜 처음봤"
37880440,갱소년,라떼,5000,"5,000원",strict,"과 함께 기대감이 들었어요. 저희가 시킨 메뉴는요. 드립커피 (5,000원) 말차망고라떼 (6,500원) 사계절 양갱 플레이트 4pcs "
37880440,갱소년,라떼,6500,"6,500원",strict,"저희가 시킨 메뉴는요. 드립커피 (5,000원) 말차망고라떼 (6,500원) 사계절 양갱 플레이트 4pcs (4,500원) 구슬 양갱 상"
37880440,갱소년,라떼,4500,"4,500원",strict," 말차망고라떼 (6,500원) 사계절 양갱 플레이트 4pcs (4,500원) 구슬 양갱 상자 12개입 (15,000원) - 포장 입니다!"
37880440,갱소년,에이드,5000,"5,000원",strict," 오래 기억에 남을 것 같기도 해요 음료 양갱 후기 드립커피 (5,000원) 라벤더 유자에이드 (7,000원) 구슬양갱 플레이트 (4,5"
