카페id,카페이름,주소,지역(구단위),좌표(lat),좌표(lng),지도링크,카페이미지url,분위기,간이유,맛,동반자,메뉴,주요메뉴,주차여부,블로그수,추천점수(0-100),추천유형,추천태그,추천문구,가격요약,가격목록,키워드TOP40
28209e8d5755,062케이크,광주 광산구 수완로74번길 23-19,광산구,35.1932837580162,126.831119052806,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1982329988,esc2,광주 광산구 풍영정길 241-2,광산구,35.1884723,126.8576909,https://pcmap.place.naver.com/place/1982329988/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220507_284%2F16518954575500uc6O_JPEG%2FKakaoTalk_20220506_105332054_01.jpg,"반려동물, 테라스, 넓음","대표메뉴: 라떼, 아메리카노, 케이크 / 분위기: 반려동물, 테라스 / 맛: 단짠/짭짤, 달콤 / 주차: 가능","단짠/짭짤, 달콤, 상큼","반려동물/애견동반, 단체/대관, 가족","라떼, 아메리카노, 케이크, 아이스크림, 샌드위치, 타르트, 초코, 바닐라","라떼, 아메리카노, 케이크",가능,10,73.3,가족,"반려동물,테라스,단짠/짭짤,달콤,반려동물/애견동반","가족 추천 · 대표메뉴: 라떼, 아메리카노, 케이크 / 분위기: 반려동물, 테라스 / 맛: 단짠/짭짤, 달콤 / 주차: 가능",4500~8000원(대표 5150원),"[4500, 5000, 5300, 8000]","[[""빵"", 66], [""esc"", 58], [""먹다"", 27], [""광산구"", 24], [""주차장"", 21], [""대형"", 20], [""영산강"", 19], [""동반"", 18], [""크림"", 17], [""주차"", 16], [""라떼"", 16], [""종류"", 16], [""가능"", 15], [""소금"", 15], [""넓다"", 15], [""풍영정"", 14], [""애견"", 14], [""테라스"", 13], [""날씨"", 13], [""아메리카노"", 12], [""공간"", 11], [""엉덩이"", 11], [""매장"", 11], [""케이크"", 11], [""아이스"", 11], [""아이스크림"", 10], [""루프"", 10], [""올라가다"", 10], [""고르다"", 10], [""좋아하다"", 10], [""앉다"", 9], [""시그니처"", 9], [""편하다"", 9], [""전용"", 9], [""의자"", 9], [""마시다"", 8], [""내부"", 8], [""준비"", 8], [""샌드위치"", 8], [""고민"", 8]]"
37880440,갱소년,광주 광산구 송정로8번길 7-4,광산구,35.1366269,126.7920436,https://pcmap.place.naver.com/place/37880440/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240821_44%2F1724211982277dg1HB_JPEG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BB%25E7%25C1%25F8.jpg,"모던, 넓음, 감성","대표메뉴: 말차, 라떼, 토스트 / 분위기: 모던, 넓음 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능","상큼, 쌉싸름/다크, 담백","단체/대관, 데이트, 친구","말차, 라떼, 토스트, 에이드, 초코, 밀크티, 빙수, 케이크","말차, 라떼, 토스트",가능,10,73.3,데이트,"모던,넓음,상큼,쌉싸름/다크,단체/대관","데이트 추천 · 대표메뉴: 말차, 라떼, 토스트 / 분위기: 모던, 넓음 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능",3500~23800원(대표 8450원),"[3500, 4500, 5000, 6500, 7000, 9900, 12400, 14000, 15000, 23800]","[[""소년"", 111], [""양갱"", 108], [""먹다"", 50], [""송정"", 46], [""선물"", 42], [""시장"", 33], [""구슬"", 32], [""예약"", 27], [""드립"", 25], [""매장"", 23], [""광산구"", 22], [""즐기다"", 22], [""말차"", 21], [""세트"", 21], [""곤약"", 20], [""젤리"", 20], [""포장"", 19], [""과일"", 19], [""플레이트"", 19], [""사다"", 19], [""고급"", 16], [""가능"", 16], [""송정역"", 15], [""테이블"", 14], [""사계절"", 14], [""깔끔"", 13], [""망고"", 13], [""광주송정역"", 13], [""느낌"", 13], [""시간"", 13], [""주차"", 12], [""내부"", 12], [""앉다"", 12], [""차"", 12], [""팥"", 12], [""여행"", 12], [""라떼"", 11], [""분위기"", 11], [""주차장"", 10], [""공간"", 10]]"
a0c7c77562e8,고요커피,광주 광산구 첨단중앙로116번길 31,광산구,35.21595433262465,126.8444057663052,nan,,"모던, 조용, 아늑","대표메뉴: 케이크, 아이스크림, 라떼 / 분위기: 모던, 조용 / 맛: 담백, 고소 / 주차: 가능","담백, 고소, 달콤","데이트, 반려동물/애견동반, 단체/대관","케이크, 아이스크림, 라떼, 아메리카노, 바닐라","케이크, 아이스크림, 라떼",가능,2,45.0,데이트,"모던,조용,담백,고소,데이트","데이트 추천 · 대표메뉴: 케이크, 아이스크림, 라떼 / 분위기: 모던, 조용 / 맛: 담백, 고소 / 주차: 가능",,[],"[[""첨단"", 23], [""가능"", 10], [""케이크"", 8], [""고요"", 7], [""아이스크림"", 7], [""주차"", 6], [""왕자"", 6], [""분위기"", 5], [""주차장"", 5], [""먹다"", 5], [""시간"", 5], [""외관"", 4], [""조용"", 4], [""광산구"", 4], [""중앙로"", 4], [""지원"", 4], [""동반"", 4], [""식사"", 4], [""테이블"", 4], [""대화"", 4], [""라떼"", 4], [""실내"", 4], [""편안"", 3], [""깔끔"", 3], [""심플"", 3], [""인테리어"", 3], [""넓다"", 3], [""소리"", 3], [""공간"", 3], [""인기"", 3], [""크림"", 3], [""장소"", 3], [""남기다"", 3], [""애견"", 3], [""바닐라빈"", 3], [""라일락"", 3], [""숙소"", 3], [""오랜만"", 3], [""저녁"", 3], [""택하다"", 3]]"
1851600593,광카롱,광주 광산구 광산로 11-1,광산구,35.1379377,126.7933302,https://pcmap.place.naver.com/place/1851600593/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221228_14%2F1672233240091r2KJ7_JPEG%2FC5D9077A-6C47-4B8C-ACF6-3C6D0C97BE8E.jpeg,"모던, 넓음","대표메뉴: 브라우니, 초코, 말차 / 분위기: 모던, 넓음 / 맛: 쌉싸름/다크, 달콤","쌉싸름/다크, 달콤, 진함","친구, 혼카페/작업, 단체/대관","브라우니, 초코, 말차, 휘낭시에, 마들렌","브라우니, 초코, 말차",,1,34.7,혼카페/작업,"모던,넓음,쌉싸름/다크,달콤,친구","혼카페/작업 추천 · 대표메뉴: 브라우니, 초코, 말차 / 분위기: 모던, 넓음 / 맛: 쌉싸름/다크, 달콤",3000~3000원(대표 3000원),[3000],"[[""마카롱"", 18], [""먹다"", 14], [""브라우니"", 10], [""조개"", 8], [""우유"", 8], [""초코"", 8], [""진하다"", 6], [""말차"", 6], [""바나나"", 5], [""자바"", 5], [""달콤"", 4], [""비주얼"", 4], [""씨앗"", 4], [""고소하다"", 3], [""색감"", 3], [""가운데"", 3], [""롤리"", 3], [""폴리"", 3], [""과자"", 3], [""베다"", 3], [""물다"", 3], [""달달하다"", 3], [""거대"", 3], [""섞이다"", 3], [""느낌"", 3], [""초콜릿"", 3], [""메인"", 3], [""은은"", 2], [""감싸다"", 2], [""광산구"", 2], [""광산"", 2], [""이름"", 2], [""사다"", 2], [""조합"", 2], [""행복"", 2], [""좋아하다"", 2], [""박히다"", 2], [""브라운"", 2], [""다크"", 2], [""크림"", 2]]"
1757494095,그랩앤고 크레페 첨단원로그점,광주 광산구 임방울대로826번길 19-23,광산구,35.2167377,126.8499856,https://pcmap.place.naver.com/place/1757494095/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250318_279%2F17422718872465FoXu_JPEG%2FIMG_6807.jpeg,"모던, 감성, 넓음","대표메뉴: 아이스크림, 케이크, 아메리카노 / 분위기: 모던, 감성 / 맛: 상큼, 달콤 / 주차: 가능","상큼, 달콤, 담백","단체/대관, 친구, 가족","아이스크림, 케이크, 아메리카노, 초코, 브라우니, 푸딩, 말차","아이스크림, 케이크, 아메리카노",가능,8,64.8,가족,"모던,감성,상큼,달콤,단체/대관","가족 추천 · 대표메뉴: 아이스크림, 케이크, 아메리카노 / 분위기: 모던, 감성 / 맛: 상큼, 달콤 / 주차: 가능",1500~10900원(대표 7450원),"[1500, 4900, 5900, 6900, 7400, 7500, 7900, 8000, 8700, 10900]","[[""크레페"", 134], [""크림"", 50], [""먹다"", 46], [""딸기"", 42], [""첨단"", 41], [""아이스크림"", 41], [""포장"", 21], [""단원"", 16], [""과일"", 16], [""오픈"", 16], [""케이크"", 16], [""광산구"", 15], [""수건"", 15], [""망고"", 15], [""임방울"", 13], [""동명동"", 13], [""넣다"", 13], [""가능"", 12], [""밀크"", 12], [""시리얼"", 12], [""그랩앤고"", 12], [""바나나"", 10], [""로그"", 10], [""키오스크"", 9], [""반죽"", 9], [""우유"", 9], [""주차"", 9], [""조합"", 8], [""깔끔"", 8], [""토핑"", 8], [""테이크아웃"", 8], [""배달"", 8], [""좋아하다"", 8], [""내부"", 8], [""진하다"", 7], [""매장"", 7], [""달콤"", 7], [""과정"", 7], [""corp."", 7], [""원로"", 7]]"
85311f935f1b,그루카페,광주 광산구 어등대로 669,광산구,35.14446439686849,126.79117172143496,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1889441838,꽈르르,광주 광산구 수완로50번길 59,광산구,35.188227,126.8312518,https://pcmap.place.naver.com/place/1889441838/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251206_80%2F1764988852819YpusG_JPEG%2FIMG_3733.jpeg,"감성, 아늑, 넓음","대표메뉴: 초코, 라떼, 아메리카노 / 분위기: 감성, 아늑 / 맛: 고소, 달콤 / 주차: 가능","고소, 달콤, 담백","데이트, 단체/대관, 친구","초코, 라떼, 아메리카노, 에이드, 빙수, 말차, 케이크, 팥빙수","초코, 라떼, 아메리카노",가능,10,73.3,데이트,"감성,아늑,고소,달콤,데이트","데이트 추천 · 대표메뉴: 초코, 라떼, 아메리카노 / 분위기: 감성, 아늑 / 맛: 고소, 달콤 / 주차: 가능",3300~20000원(대표 3850원),"[3300, 3500, 3600, 3800, 3900, 6000, 7000, 20000]","[[""꽈배기"", 139], [""먹다"", 45], [""지구"", 40], [""수완"", 38], [""블루"", 26], [""리본"", 25], [""크림"", 25], [""버터"", 24], [""주차"", 23], [""선정"", 18], [""초코"", 18], [""포장"", 17], [""분위기"", 16], [""광산구"", 16], [""수완로"", 16], [""내부"", 16], [""당일"", 16], [""라떼"", 15], [""소품"", 14], [""종류"", 14], [""느낌"", 14], [""크리스마스"", 13], [""예약"", 12], [""갓길"", 11], [""화장실"", 11], [""가능"", 11], [""음식"", 11], [""corp."", 10], [""이즈"", 10], [""핑크"", 10], [""치즈"", 10], [""카스테라"", 10], [""꾸미다"", 9], [""아메리카노"", 9], [""어울리다"", 9], [""친구"", 9], [""시리얼"", 9], [""빵"", 8], [""사장"", 8], [""테이블"", 8]]"
1226909486,끌라로치즈케이크,광주 광산구 임방울대로826번길 19-20,광산구,35.2165264,126.8492281,https://pcmap.place.naver.com/place/1226909486/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251128_243%2F1764319065285RU9YA_PNG%2F0565C63A-6C0A-4CCA-A025-78FF6BA88F2E.png,키즈/가족친화,"대표메뉴: 케이크, 초코, 치즈케이크 / 분위기: 키즈/가족친화 / 맛: 달콤, 진함","달콤, 진함, 담백","가족, 데이트, 친구","케이크, 초코, 치즈케이크, 아메리카노","케이크, 초코, 치즈케이크",,1,24.2,데이트,"키즈/가족친화,달콤,진함,가족","데이트 추천 · 대표메뉴: 케이크, 초코, 치즈케이크 / 분위기: 키즈/가족친화 / 맛: 달콤, 진함",,[],"[[""케이크"", 20], [""치즈"", 16], [""와인"", 9], [""초코"", 5], [""먹다"", 4], [""수완"", 3], [""지구"", 3], [""끌라로"", 3], [""케익"", 3], [""오렌지"", 3], [""영업시간"", 2], [""치즈케이크"", 2], [""반죽"", 2], [""시간"", 2], [""저온"", 2], [""숙성"", 2], [""판매"", 2], [""조각"", 2], [""준비"", 2], [""곁들이다"", 2], [""샤인머스캣"", 2], [""쥬스"", 2], [""과일"", 2], [""아이"", 2], [""담백"", 2], [""살다"", 2], [""종류"", 2], [""꾸덕"", 1], [""고소"", 1], [""다녀오다"", 1], [""끌라러"", 1], [""corp."", 1], [""첨단"", 1], [""광산구"", 1], [""임방울"", 1], [""재료"", 1], [""소진"", 1], [""마감"", 1], [""끄다"", 1], [""제공"", 1]]"
965385c078bd,달달베이크카페,광주 광산구 월계로150번길 22,광산구,35.2123129159113,126.841654945338,nan,,"넓음, 조용, 모던","대표메뉴: 타르트, 쿠키, 아메리카노 / 분위기: 넓음, 조용 / 맛: 단짠/짭짤, 상큼","단짠/짭짤, 상큼, 달콤",단체/대관,"타르트, 쿠키, 아메리카노, 마들렌, 에이드, 케이크, 베이글, 식빵","타르트, 쿠키, 아메리카노",,2,37.3,기본,"넓음,조용,단짠/짭짤,상큼,단체/대관","기본 추천 · 대표메뉴: 타르트, 쿠키, 아메리카노 / 분위기: 넓음, 조용 / 맛: 단짠/짭짤, 상큼",1000~5500원(대표 2800원),"[1000, 1500, 2000, 2400, 2500, 2800, 3000, 3500, 4500, 5000, 5500]","[[""타르트"", 14], [""먹다"", 13], [""에그"", 12], [""빵"", 7], [""소금"", 6], [""모카"", 5], [""포장"", 4], [""광산구"", 4], [""세탁"", 3], [""자리"", 3], [""아메리카노"", 3], [""쿠키"", 3], [""예약"", 3], [""베이크"", 2], [""하우스"", 2], [""골목"", 2], [""크다"", 2], [""목요일"", 2], [""휴무"", 2], [""기다리다"", 2], [""차"", 2], [""주차"", 2], [""가격"", 2], [""아이스"", 2], [""패션후르츠"", 2], [""에이드"", 2], [""오레오"", 2], [""마들렌"", 2], [""품절"", 2], [""개별"", 2], [""요청"", 2], [""드리다"", 2], [""엄마"", 2], [""느낌"", 2], [""커스터드"", 2], [""필링"", 2], [""기대"", 2], [""부분"", 2], [""남다"", 2], [""동굴"", 2]]"
