token,count
먹다,1323
케이크,933
빵,909
광산구,579
첨단,486
가능,448
크림,438
딸기,428
주차,420
매장,340
마카롱,339
종류,333
포장,332
수완,327
주차장,312
쿠키,295
지구,292
공간,291
두바이,288
느낌,275
좋아하다,271
분위기,268
초코,264
내부,259
시간,255
치즈,251
예약,248
corp.,246
아이,243
요거트,241
소금,232
송정,222
아메리카노,216
테이블,214
브런치,213
쪼다,203
자리,197
빙수,196
라떼,184
샌드위치,184
고르다,183
사다,183
준비,179
우유,172
넓다,171
깔끔,169
아이스크림,168
선물,166
즐기다,165
건물,164
영업시간,161
과일,158
크다,157
판매,155
크레페,152
정도,151
달달하다,151
드리다,144
신창,142
꽈배기,139
근처,138
편하다,137
마시다,137
가격,136
오픈,135
하남,131
올라가다,129
식감,128
친구,128
애견,127
안녕,126
유명,126
다녀오다,126
사장,121
인테리어,118
구매,117
아이스,115
망고,115
앉다,114
메뉴판,111
사람,111
소년,111
오렌지,111
복숭아,109
양갱,109
버터,108
사용,105
선택,105
나다,104
단체,104
감성,104
차,103
달다,102
조합,102
아트,102
월드,102
어울리다,100
고민,99
진하다,99
처음,99
대형,98
달콤,98
재생,97
당일,96
신상,96
실내,95
고유,94
클래스,94
세컨드,94
의자,93
구경,93
파스타,93
무료,92
휴무,92
화장실,91
에이드,91
데이,89
쓰다,87
이벤트,87
운동장,87
에그,86
작다,86
입구,82
말차,82
골목,81
식사,81
빵집,80
참고,80
크리스마스,79
들어오다,79
델다,78
작품,77
카운터,76
스타,76
고소하다,75
강아지,75
높다,74
담다,74
제이,74
생기다,73
시그니처,73
토핑,73
기본,73
브레드,73
드시다,73
위하다,73
카다이프,73
외관,72
저녁,72
신창동,72
인절미,72
식빵,71
비주얼,71
고소,71
고급,71
엄마,70
따뜻,70
확인,70
접시,70
라라,70
모습,69
기분,69
꾸미다,69
원두,69
다르다,69
수제,69
이상,69
편안,68
여유,68
타르트,68
초콜릿,68
본점,68
좌석,67
만족,67
데이트,67
올리다,67
추가,67
신선,67
인기,66
남다,66
배달,66
맞다,65
주말,65
가게,65
넣다,64
전화,64
세트,64
크기,64
월요일,64
보내다,63
드립,63
특별,62
슈네케,62
동반,61
정보,61
나가다,61
운영,61
시키다,61
디자인,61
바나나,60
파이,60
가지다,60
소품,60
기대,59
esc,58
취향,58
모찌,57
궁금,57
사이즈,57
자체,57
미니,57
수플레,57
마음,56
오후,56
아늑,56
펴다,56
도자기,56
가족,55
정기,55
수완로,55
피스타치오,55
상가,55
이름,54
놀다,54
픽업,54
혼자,54
체험,54
기다리다,53
맛보다,53
테라스,52
전체,52
걱정,52
화이트,52
바질,52
작업,52
마련,51
남기다,51
모르다,51
번호,51
내다,51
싸다,51
바닐라,50
행복,50
블루베리,50
이유,50
모양,50
인스타,50
할인,50
메종드프렛즐,50
실타래,50
구성,49
날씨,48
재미,48
트리,47
힐링,47
무화과,47
외부,47
시즌,47
개인,47
근교,47
도산,47
전용,46
평일,46
안쪽,46
부담,46
풍미,46
진행,46
조각,45
야외,45
음식,45
스콘,45
재료,45
필링,45
별관,45
치아바타,45
키즈,45
여행,44
만나다,44
오랜만,44
필요,44
상큼,44
조화,44
도산동,44
루프,43
점심,43
토마토,43
서비스,43
은은,43
조용,43
샐러드,43
설빙,43
스무디,43
지조,43
휘다,43
따르다,42
테이크아웃,42
오전,42
살다,41
촉촉,41
레몬,41
