카페id,카페이름,item(추정),price(원),raw,source,context
1089220253,BLCK,쿠키,3500,"3,500원",strict," 시럽 대신 알룰로스를 추가할 수 있답니다. 두바이 쫀득쿠키: 3,500원 두바이 딸기모찌롤: 12,000원 두바이 쫀득모찌빵: 8,00"
1089220253,BLCK,쿠키,12000,"12,000원",strict," 있답니다. 두바이 쫀득쿠키: 3,500원 두바이 딸기모찌롤: 12,000원 두바이 쫀득모찌빵: 8,000원 두바이 퀸아망샌드: 11,00"
1089220253,BLCK,케이크,8000,"8,000원",strict,"500원 두바이 딸기모찌롤: 12,000원 두바이 쫀득모찌빵: 8,000원 두바이 퀸아망샌드: 11,000원 두바이 수건케이크: 11,0"
1089220253,BLCK,케이크,11000,"11,000원",strict,",000원 두바이 쫀득모찌빵: 8,000원 두바이 퀸아망샌드: 11,000원 두바이 수건케이크: 11,000원 딸기 크레이프롤: 15,00"
1089220253,BLCK,케이크,15000,"15,000원",strict,",000원 두바이 수건케이크: 11,000원 딸기 크레이프롤: 15,000원 블랙 크로핀: 5,000~5,500원 소금빵: 5,000~8,"
1089220253,BLCK,소금빵,5500,"5,500원",strict,"0원 딸기 크레이프롤: 15,000원 블랙 크로핀: 5,000~5,500원 소금빵: 5,000~8,000원 디저트가 나오는 시간은 12시"
1089220253,BLCK,소금빵,8000,"8,000원",strict,"0원 블랙 크로핀: 5,000~5,500원 소금빵: 5,000~8,000원 디저트가 나오는 시간은 12시 30분! 저희가 2시 조금 넘는"
1089220253,BLCK,케이크,3500,"3,500원",strict," 8,000원 두바이 수건케이크 11,000원 두바이 쫀득쿠키 3,500원 말차크림소금빵 5,500원 두바이 쫀득모찌빵은 1개 남았더라구"
1089220253,BLCK,소금빵,9000,"9,000원",strict,"수량이 많이 남았었는데 사진에 잘 안보이네요 ㅜ_ㅜ 뺑오두바이 9,000원 두바이 소금빵 8,000원 두바이 종류 말고도 블랙크로핀이라는"
1089220253,BLCK,케이크,9000,"9,000원",strict," 저어엉말 미르스띤 것 같아요~~~ 제가 구매한 건 뺑오두바이 9,000원 두바이수건케이크 11,000원 두바이소금빵 8,000원 두바이"
1089220253,BLCK,아메리카노,8000,"8,000원",strict,"두바이 9,000원 두바이수건케이크 11,000원 두바이소금빵 8,000원 두바이쫀득모찌빵 8,000원 아메리카노 3,000 (take "
1089220253,BLCK,아메리카노,39000,"39,000원",strict,"찌빵 8,000원 아메리카노 3,000 (take out) 총 39,000원 썼고요..? 쫀득쿠키는 몇 번 먹어봐서 사려다가 참았구 쫀득쿠"
1089220253,BLCK,카다이프,8000,"8,000원",strict,"장해주시는 동안 아쉬운대로 내부 사진만 찍어봤어요 두바이소금빵 8,000원 비싼만큼 카다이프는 꽤 듬뿍 있는 편이고 사장님이 포장하실 때"
1089220253,BLCK,,9000,"9,000원",strict,"같은데 ㅜㅜ 결론 : 전체적으로 괜찮은데 안달다 뺑 오 두바이 9,000원 뺑 오 자체가 원래 만들기 힘든건지 크기에 비해서 엄청 비싸구"
1089220253,BLCK,소금빵,3500,"3,500원",strict,"면 더더욱 좋을 듯! 두바이 초콜릿 8,000 두바이 쫀득쿠키 3,500원 소금빵 3,000원 여름에 방문했는데 녹지 말라고 꼼꼼하게 포"
1089220253,BLCK,소금빵,3000,"3,000원",strict," 두바이 초콜릿 8,000 두바이 쫀득쿠키 3,500원 소금빵 3,000원 여름에 방문했는데 녹지 말라고 꼼꼼하게 포장해주심 약간의 인기"
1089220253,BLCK,,8000,"8,000원",strict," 초콜릿은 아기 미니 사진만큼이나 크기가 미니미함 근데 가격은 8,000원 (물론, 다른곳보다 저렴한 편임) 엄청 진한 초콜릿에 피스타치"
1089220253,BLCK,아메리카노,3000,"3,000원",strict,"메뉴판 BLCK 메뉴판 < 메뉴 간단 정리 > - 아메리카노 (3,000원) - 라떼류 (5,000원 ~ 6,000원) *시그니처메뉴 :"
1089220253,BLCK,아메리카노,5000,"5,000원",strict,"메뉴 간단 정리 > - 아메리카노 (3,000원) - 라떼류 (5,000원 ~ 6,000원) *시그니처메뉴 : 블랙크림라떼 (6,000원"
1089220253,BLCK,아메리카노,6000,"6,000원",strict,"> - 아메리카노 (3,000원) - 라떼류 (5,000원 ~ 6,000원) *시그니처메뉴 : 블랙크림라떼 (6,000원) - 티 종류 "
1089220253,BLCK,라떼,6000,"6,000원",strict,"5,000원 ~ 6,000원) *시그니처메뉴 : 블랙크림라떼 (6,000원) - 티 종류 (4,000원 ~ 6,000원) - 제로음료 ("
1089220253,BLCK,라떼,4000,"4,000원",strict," *시그니처메뉴 : 블랙크림라떼 (6,000원) - 티 종류 (4,000원 ~ 6,000원) - 제로음료 (4,000원 ~ 6,000원)"
1089220253,BLCK,,4000,"4,000원",strict,") - 티 종류 (4,000원 ~ 6,000원) - 제로음료 (4,000원 ~ 6,000원) - 옵션(샷 추가, 디카페인 등) (500원"
