카페id,카페이름,가격목록,가격종류수,최소가,최대가,대표가(중앙값)
0d6c4d7d8d3a,포르피노,[2800],1,2800,2800,2800
1018138221,암브로시아,"[1000, 3800, 4000, 4500, 5000, 5500, 6000, 7000]",8,1000,7000,4750
1038031449,릴커피스탠드,"[3000, 3500, 4000, 4500, 5000, 5500, 6000, 6500]",8,3000,6500,4750
1089220253,BLCK,"[500, 800, 3000, 3500, 4000, 5000, 5500, 6000, 8000, 9000, 9500, 10000, 11000, 12000, 15000, 39000]",16,500,39000,7000
1144160180,펭귄당,"[1000, 4000, 4500, 5000, 7500, 8000, 8500, 9000, 32000]",9,1000,32000,7500
1189658939,레파스 효천점,"[3000, 4000, 4300, 5500, 18000]",5,3000,18000,4300
1220586248,시니베이키,[38000],1,38000,38000,38000
1273623215,아이언,"[3400, 4500, 5800, 6000, 6500, 7200, 7500]",7,3400,7500,6000
1713171715,브룩빌즈,"[5000, 7500, 8500, 13000, 15000, 16500, 17000, 18500, 19000]",9,5000,19000,15000
1734990318,티라미뚜,"[1000, 4000, 4500, 5500, 6500, 6900, 39000, 40000]",8,1000,40000,6000
1915480921,욘더스콘,"[3800, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000, 5300, 5800, 6000, 6300, 6500]",16,3800,6500,4750
1986630049,프렌치버터하우스,"[4500, 5600, 5800, 6000, 6500, 7000, 7500, 13800, 14500, 14800, 14900, 15000, 15500, 15800, 16800, 17900, 18500, 19500, 19800, 22500]",20,4500,22500,14850
2004138227,소미담 광주진월점,"[1200, 1400, 1600, 1700, 1800, 1900, 3000, 3100, 3200, 3500, 3800, 3900, 4500, 12900]",14,1200,12900,3050
2043219558,봉빙,"[1500, 3000, 3500, 5000, 8500, 11500, 14000]",7,1500,14000,5000
23e327f7a18a,화채업자,"[3500, 13000, 16000, 17000, 18000, 19000, 21000]",7,3500,21000,17000
35507437,설빙 광주진월점,[16500],1,16500,16500,16500
65c99f32d168,카페레이즈,"[3000, 5000]",2,3000,5000,4000
94415dd112aa,카페드포레,"[4800, 5000, 5200, 7000]",4,4800,7000,5100
b0cf8b705c01,아필코 브런치카페 광주봉선점,"[1000, 4500, 4600, 5500, 5600, 5800, 6000, 6500, 7000, 7500, 9500, 13800, 14500, 14800, 14900, 15000, 15500, 15800, 16800, 17900, 18500, 19800]",22,1000,19800,11650
c0428afb968e,별빛스푼 남구점,[700],1,700,700,700
cd2d9a909d5d,무등,"[1500, 2800, 3000, 3500, 3600, 3800, 4200, 4600, 5500, 5800, 6000, 8600]",12,1500,8600,4000
