카페id,카페이름,주소,지역(구단위),좌표(lat),좌표(lng),지도링크,카페이미지url,분위기,간이유,맛,동반자,메뉴,주요메뉴,주차여부,블로그수,키워드TOP40
631b03ea9978,52푸드,광주 남구 봉선중앙로68번길 5,남구,,,,,,52푸드 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
1089220253,BLCK,광주 남구 백서로 50-1,남구,35.1375759,126.9138934,https://pcmap.place.naver.com/place/1089220253/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250108_115%2F1736317457927pBaYm_JPEG%2FIMG_2148.jpeg,"넓음, 감성, 모던","대표메뉴: 쿠키, 케이크, 라떼 / 분위기: 넓음, 감성 / 맛: 상큼, 달콤 / 주차: 가능","상큼, 달콤, 고소","데이트, 친구, 혼카페","쿠키, 케이크, 라떼, 말차, 초코, 아메리카노, 젤라또, 식빵","쿠키, 케이크, 라떼",가능,10,"[[""두바이"", 126], [""빵"", 90], [""blck"", 89], [""소금"", 67], [""크림"", 55], [""먹다"", 51], [""블랙"", 43], [""쪼다"", 41], [""쿠키"", 37], [""초콜릿"", 34], [""케이크"", 34], [""수건"", 31], [""좋다"", 30], [""맛있다"", 29], [""라떼"", 23], [""말차"", 21], [""가다"", 20], [""딸기"", 19], [""느낌"", 19], [""주차장"", 18], [""백서"", 17], [""오다"", 17], [""모찌"", 16], [""카다이프"", 16], [""내부"", 14], [""나오다"", 14], [""크로"", 14], [""초코"", 14], [""다양"", 13], [""전용"", 13], [""8,000"", 12], [""아메리카노"", 12], [""핫하다"", 12], [""많다"", 11], [""들다"", 11], [""달달하다"", 11], [""들어가다"", 11], [""외관"", 10], [""블랙 크로"", 10], [""피스타치오"", 10]]"
069548609ac4,MG블루카페,광주 남구 봉선1로37번길 3,남구,,,,,,MG블루카페 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
1210464402,갸또빌리,광주 남구 제중로 41,남구,35.1382709,126.9139059,https://pcmap.place.naver.com/place/1210464402/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180123_185%2F1516690703203NkYm2_JPEG%2FGfcR2rAzLTg3HcceLnB0lPbW.jpg,,갸또빌리 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
be7ae6f6639a,달달한온도 백운본점,광주 남구 독립로10번길 26-2,남구,,,,,,달달한온도 백운본점 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
1227889910,달롱도르요거트아이스크림 양림점,광주 남구 천변좌로 468,남구,35.1388044,126.9189642,https://pcmap.place.naver.com/place/1227889910/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_153%2F1725602148317ACOG2_JPEG%2FIMG_3541.jpeg,,달롱도르요거트아이스크림 양림점 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
1011302977,달롱도르요거트아이스크림 효천점,광주 남구 효천로 8,남구,35.0991565,126.8765372,https://pcmap.place.naver.com/place/1011302977/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250922_26%2F1758523827906u18Qg_JPEG%2FKakaoTalk_20250530_141559854.jpg,,달롱도르요거트아이스크림 효천점 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
1577880896,달콤한썸띵,광주 남구 진제길 5,남구,35.1130454,126.9017588,https://pcmap.place.naver.com/place/1577880896/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190617_240%2F1560742183702FUGl8_JPEG%2F25gY2lp68ETZpwTU32tT0dY8.jpeg.jpg,"아늑, 넓음, 모던","대표메뉴: 라떼, 에이드 / 분위기: 아늑, 넓음 / 맛: 달콤, 고소","달콤, 고소, 진함","친구, 데이트","라떼, 에이드","라떼, 에이드",,1,"[[""달콤"", 8], [""단체"", 4], [""월동"", 3], [""마시다"", 3], [""차"", 3], [""모임"", 3], [""자몽"", 3], [""이드"", 3], [""나다"", 2], [""카운터"", 2], [""화장실"", 2], [""수제"", 2], [""좋다"", 2], [""분위기"", 2], [""아늑"", 2], [""카페라떼"", 2], [""맛있다"", 2], [""진제"", 2], [""안녕"", 1], [""전하다"", 1], [""상호"", 1], [""느낌"", 1], [""예전"", 1], [""요즘"", 1], [""바쁘다"", 1], [""근처"", 1], [""테이크아웃"", 1], [""공간"", 1], [""외부"", 1], [""내부"", 1], [""인테리어"", 1], [""깔끔"", 1], [""메인"", 1], [""출입문"", 1], [""들어서다"", 1], [""보이다"", 1], [""왼편"", 1], [""오른편"", 1], [""안쪽"", 1], [""넓다"", 1]]"
1688242813,달콤허니,광주 남구 봉선1로 71,남구,35.1280893,126.9131165,https://pcmap.place.naver.com/place/1688242813/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240311_250%2F1710162040279gW9fa_JPEG%2F1710162035492.jpg,"넓음, 뷰/통창","대표메뉴: 쿠키, 휘낭시에, 타르트 / 분위기: 넓음, 뷰/통창 / 맛: 달콤, 진함","달콤, 진함, 촉촉","데이트, 혼카페","쿠키, 휘낭시에, 타르트, 빙수, 에이드","쿠키, 휘낭시에, 타르트",,1,"[[""먹다"", 10], [""맛있다"", 7], [""보이다"", 6], [""가다"", 6], [""빵"", 6], [""쓰다"", 4], [""달콤"", 4], [""괜찮다"", 3], [""찍다"", 3], [""생각"", 3], [""들어오다"", 3], [""좋다"", 3], [""많다"", 3], [""자몽"", 3], [""이드"", 3], [""휘낭시에"", 3], [""사다"", 3], [""쿠키"", 3], [""에그"", 3], [""타르트"", 3], [""다녀오다"", 2], [""시간"", 2], [""고민"", 2], [""들어가다"", 2], [""예쁘다"", 2], [""수제"", 2], [""종류"", 2], [""다양"", 2], [""임산부"", 2], [""오다"", 2], [""찾다"", 2], [""사장"", 2], [""주다"", 2], [""코코넛"", 2], [""들다"", 2], [""달달하다"", 2], [""요즘"", 1], [""재미"", 1], [""붙이다"", 1], [""지나다"", 1]]"
7c5dc3d96ddf,두두디저트,광주 남구 효우로77번길 13,남구,,,,,,두두디저트 관련 키워드 근거가 부족하여(블로그/텍스트 부족) 추가 수집이 필요합니다.,,,,,,0,[]
