카페id,카페이름,주소,지역(구단위),좌표(lat),좌표(lng),지도링크,카페이미지url,분위기,간이유,맛,동반자,메뉴,주요메뉴,주차여부,블로그수,추천점수(0-100),추천유형,추천태그,추천문구,가격요약,가격목록,키워드TOP40
631b03ea9978,52푸드,광주 남구 봉선중앙로68번길 5,남구,35.1272008372686,126.91211090296792,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1089220253,BLCK,광주 남구 백서로 50-1,남구,35.1375759,126.9138934,https://pcmap.place.naver.com/place/1089220253/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250108_115%2F1736317457927pBaYm_JPEG%2FIMG_2148.jpeg,"감성, 모던, 넓음","대표메뉴: 쿠키, 케이크, 라떼 / 분위기: 감성, 모던 / 맛: 단짠/짭짤, 쌉싸름/다크 / 주차: 가능","단짠/짭짤, 쌉싸름/다크, 상큼","데이트, 단체/대관, 친구","쿠키, 케이크, 라떼, 말차, 카다이프, 초코, 아메리카노, 피스타치오","쿠키, 케이크, 라떼",가능,10,73.3,데이트,"감성,모던,단짠/짭짤,쌉싸름/다크,데이트","데이트 추천 · 대표메뉴: 쿠키, 케이크, 라떼 / 분위기: 감성, 모던 / 맛: 단짠/짭짤, 쌉싸름/다크 / 주차: 가능",500~39000원(대표 7000원),"[500, 800, 3000, 3500, 4000, 5000, 5500, 6000, 8000, 9000, 9500, 10000, 11000, 12000, 15000, 39000]","[[""두바이"", 126], [""빵"", 90], [""소금"", 67], [""크림"", 55], [""먹다"", 51], [""블랙"", 43], [""쪼다"", 41], [""쿠키"", 37], [""초콜릿"", 34], [""케이크"", 34], [""수건"", 31], [""라떼"", 23], [""말차"", 21], [""주차"", 20], [""딸기"", 19], [""느낌"", 19], [""주차장"", 18], [""백서"", 17], [""모찌"", 16], [""카다이프"", 16], [""내부"", 14], [""크로아상"", 14], [""초코"", 14], [""전용"", 13], [""아메리카노"", 12], [""핫하다"", 12], [""달달하다"", 11], [""외관"", 10], [""블랙 크로"", 10], [""피스타치오"", 10], [""식감"", 10], [""명란"", 10], [""공터"", 9], [""월요일"", 9], [""자리"", 9], [""분위기"", 9], [""화장실"", 9], [""크레이프"", 9], [""구매"", 9], [""포장"", 9]]"
069548609ac4,MG블루카페,광주 남구 봉선1로37번길 3,남구,35.1282928397569,126.90905636989,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1210464402,갸또빌리,광주 남구 제중로 41,남구,35.1382709,126.9139059,https://pcmap.place.naver.com/place/1210464402/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180123_185%2F1516690703203NkYm2_JPEG%2FGfcR2rAzLTg3HcceLnB0lPbW.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
be7ae6f6639a,달달한온도 백운본점,광주 남구 독립로10번길 26-2,남구,35.134582444002234,126.9042325314144,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1227889910,달롱도르요거트아이스크림 양림점,광주 남구 천변좌로 468,남구,35.1388044,126.9189642,https://pcmap.place.naver.com/place/1227889910/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240906_153%2F1725602148317ACOG2_JPEG%2FIMG_3541.jpeg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1011302977,달롱도르요거트아이스크림 효천점,광주 남구 효천로 8,남구,35.0991565,126.8765372,https://pcmap.place.naver.com/place/1011302977/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250922_26%2F1758523827906u18Qg_JPEG%2FKakaoTalk_20250530_141559854.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1577880896,달콤한썸띵,광주 남구 진제길 5,남구,35.1130454,126.9017588,https://pcmap.place.naver.com/place/1577880896/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190617_240%2F1560742183702FUGl8_JPEG%2F25gY2lp68ETZpwTU32tT0dY8.jpeg.jpg,"아늑, 모던, 넓음","대표메뉴: 에이드, 카페라떼, 라떼 / 분위기: 아늑, 모던 / 맛: 달콤, 고소","달콤, 고소, 담백","단체/대관, 친구, 데이트","에이드, 카페라떼, 라떼, 자몽에이드","에이드, 카페라떼, 라떼",,1,27.2,데이트,"아늑,모던,달콤,고소,단체/대관","데이트 추천 · 대표메뉴: 에이드, 카페라떼, 라떼 / 분위기: 아늑, 모던 / 맛: 달콤, 고소",,[],"[[""달콤"", 8], [""단체"", 4], [""월동"", 3], [""마시다"", 3], [""가능"", 3], [""차"", 3], [""모임"", 3], [""자몽"", 3], [""에이드"", 3], [""나다"", 2], [""카운터"", 2], [""화장실"", 2], [""수제"", 2], [""분위기"", 2], [""아늑"", 2], [""카페라떼"", 2], [""진제"", 2], [""안녕"", 1], [""전하다"", 1], [""상호"", 1], [""느낌"", 1], [""예전"", 1], [""바쁘다"", 1], [""근처"", 1], [""테이크아웃"", 1], [""주차"", 1], [""공간"", 1], [""외부"", 1], [""내부"", 1], [""인테리어"", 1], [""깔끔"", 1], [""메인"", 1], [""출입문"", 1], [""들어서다"", 1], [""왼편"", 1], [""오른편"", 1], [""안쪽"", 1], [""넓다"", 1], [""중앙"", 1], [""좌석"", 1]]"
1688242813,달콤허니,광주 남구 봉선1로 71,남구,35.1280893,126.9131165,https://pcmap.place.naver.com/place/1688242813/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240311_250%2F1710162040279gW9fa_JPEG%2F1710162035492.jpg,"넓음, 뷰/통창, 반려동물","대표메뉴: 쿠키, 휘낭시에, 타르트 / 분위기: 넓음, 뷰/통창 / 맛: 달콤, 촉촉/쫀득","달콤, 촉촉/쫀득","데이트, 혼카페/작업, 반려동물/애견동반","쿠키, 휘낭시에, 타르트, 에이드, 빙수, 자몽에이드","쿠키, 휘낭시에, 타르트",,1,23.2,데이트,"넓음,뷰/통창,달콤,촉촉/쫀득,데이트","데이트 추천 · 대표메뉴: 쿠키, 휘낭시에, 타르트 / 분위기: 넓음, 뷰/통창 / 맛: 달콤, 촉촉/쫀득",,[],"[[""먹다"", 10], [""빵"", 6], [""쓰다"", 4], [""달콤"", 4], [""들어오다"", 3], [""자몽"", 3], [""에이드"", 3], [""휘낭시에"", 3], [""사다"", 3], [""쿠키"", 3], [""에그"", 3], [""타르트"", 3], [""다녀오다"", 2], [""시간"", 2], [""고민"", 2], [""수제"", 2], [""종류"", 2], [""임산부"", 2], [""가능"", 2], [""사장"", 2], [""코코넛"", 2], [""달달하다"", 2], [""재미"", 1], [""붙이다"", 1], [""지나다"", 1], [""봉선"", 1], [""작년"", 1], [""봉선동"", 1], [""애견"", 1], [""미용"", 1], [""수호"", 1], [""맡기다"", 1], [""보내다"", 1], [""발견"", 1], [""프랜차이즈"", 1], [""선호"", 1], [""개인"", 1], [""붙다"", 1], [""메뉴판"", 1], [""홀리다"", 1]]"
7c5dc3d96ddf,두두디저트,광주 남구 효우로77번길 13,남구,35.1058250160939,126.905029585641,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1719290793,라빌레뜨,광주 남구 제석로80번길 50-23,남구,35.1206192,126.9127824,https://pcmap.place.naver.com/place/1719290793/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171111_135%2F1510384542985SrbQE_JPEG%2FfyTLGW8-nXkBhm__mv_FHtbu.JPG.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1189658939,레파스 효천점,광주 남구 효천로92번길 44-3,남구,35.1054378,126.8703661,https://pcmap.place.naver.com/place/1189658939/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220419_259%2F1650378989131PmNIU_JPEG%2FKakaoTalk_20220419_223609337_02.jpg,"조용, 넓음, 키즈/가족친화","대표메뉴: 마들렌, 잠봉뵈르, 라떼 / 분위기: 조용, 넓음 / 맛: 단짠/짭짤, 고소 / 주차: 가능","단짠/짭짤, 고소, 쌉싸름/다크","가족, 데이트, 친구","마들렌, 잠봉뵈르, 라떼, 초코, 말차, 아메리카노, 피자, 밀크티","마들렌, 잠봉뵈르, 라떼",가능,5,65.7,데이트,"조용,넓음,단짠/짭짤,고소,가족","데이트 추천 · 대표메뉴: 마들렌, 잠봉뵈르, 라떼 / 분위기: 조용, 넓음 / 맛: 단짠/짭짤, 고소 / 주차: 가능",3000~18000원(대표 4300원),"[3000, 4000, 4300, 5500, 18000]","[[""레파스"", 41], [""빵"", 34], [""지구"", 24], [""소금"", 17], [""마들렌"", 15], [""먹다"", 15], [""효천로"", 9], [""크다"", 9], [""시간"", 8], [""매장"", 7], [""넓다"", 7], [""본점"", 7], [""corp."", 6], [""파스"", 6], [""주차"", 6], [""느낌"", 6], [""차"", 5], [""가능"", 5], [""라떼"", 5], [""버터"", 5], [""종류"", 5], [""잠봉뵈르"", 5], [""초코"", 5], [""주차장"", 5], [""소파"", 5], [""근처"", 4], [""월요일"", 4], [""휴무"", 4], [""포장"", 4], [""말차"", 4], [""빵집"", 4], [""셀프"", 4], [""야채"", 4], [""건물"", 3], [""유명"", 3], [""다녀오다"", 3], [""정기"", 3], [""시키다"", 3], [""진열"", 3], [""아이스"", 3]]"
1038031449,릴커피스탠드,광주 남구 대남대로223번길 22,남구,35.1332957,126.8981778,https://pcmap.place.naver.com/place/1038031449/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210510_178%2F1620631773336QnjzQ_JPEG%2FHutec1I95y2jf2jkxX6mqll7.jpeg.jpg,"감성, 넓음, 아늑","대표메뉴: 에스프레소, 아메리카노, 라떼 / 분위기: 감성, 넓음 / 맛: 단짠/짭짤, 쌉싸름/다크 / 주차: 가능","단짠/짭짤, 쌉싸름/다크, 상큼","데이트, 혼카페/작업, 친구","에스프레소, 아메리카노, 라떼, 쿠키, 스콘, 타르트, 와플, 바닐라","에스프레소, 아메리카노, 라떼",가능,9,72.0,데이트,"감성,넓음,단짠/짭짤,쌉싸름/다크,데이트","데이트 추천 · 대표메뉴: 에스프레소, 아메리카노, 라떼 / 분위기: 감성, 넓음 / 맛: 단짠/짭짤, 쌉싸름/다크 / 주차: 가능",3000~6500원(대표 4750원),"[3000, 3500, 4000, 4500, 5000, 5500, 6000, 6500]","[[""스탠드"", 48], [""빵"", 47], [""소금"", 34], [""에스프레소"", 30], [""먹다"", 28], [""릴커피"", 27], [""주월동"", 23], [""분위기"", 19], [""아메리카노"", 18], [""대남대로"", 15], [""크림"", 15], [""자리"", 15], [""카이"", 14], [""감성"", 13], [""인테리어"", 13], [""주차"", 12], [""라떼"", 12], [""근처"", 11], [""유럽"", 10], [""골목"", 9], [""마시다"", 9], [""느낌"", 9], [""공간"", 9], [""주차장"", 8], [""나다"", 7], [""오픈"", 7], [""쿠키"", 7], [""주말"", 7], [""차"", 7], [""내부"", 7], [""corp."", 6], [""영업시간"", 6], [""라스트"", 6], [""오더"", 6], [""드시다"", 6], [""휴무"", 6], [""시키다"", 6], [""앉다"", 6], [""평일"", 6], [""남구청"", 6]]"
cd2d9a909d5d,무등,광주 남구 군분로34번길 4-1,남구,35.1367965653331,126.894895540384,nan,,"넓음, 아늑, 감성","대표메뉴: 케이크, 초코, 아메리카노 / 분위기: 넓음, 아늑 / 맛: 단짠/짭짤, 고소 / 주차: 가능","단짠/짭짤, 고소, 담백","단체/대관, 가족, 혼카페/작업","케이크, 초코, 아메리카노, 타르트, 쿠키, 휘낭시에, 마들렌, 파이","케이크, 초코, 아메리카노",가능,10,73.3,혼카페/작업,"넓음,아늑,단짠/짭짤,고소,단체/대관","혼카페/작업 추천 · 대표메뉴: 케이크, 초코, 아메리카노 / 분위기: 넓음, 아늑 / 맛: 단짠/짭짤, 고소 / 주차: 가능",1500~8600원(대표 4000원),"[1500, 2800, 3000, 3500, 3600, 3800, 4200, 4600, 5500, 5800, 6000, 8600]","[[""빵"", 171], [""소금"", 149], [""먹다"", 66], [""감태"", 32], [""전병"", 25], [""시장"", 24], [""월산동"", 21], [""포장"", 19], [""기본"", 19], [""좋아하다"", 19], [""갈비"", 17], [""케이크"", 17], [""군분로"", 15], [""테이블"", 15], [""치즈"", 15], [""주차장"", 14], [""바질페스토"", 14], [""감자"", 14], [""숯불"", 14], [""무뜨"", 14], [""매장"", 13], [""내부"", 13], [""가능"", 13], [""고르다"", 12], [""예약"", 12], [""정도"", 12], [""주차"", 12], [""골목"", 11], [""앉다"", 11], [""후추"", 11], [""베이컨"", 11], [""사다"", 11], [""공영"", 10], [""자리"", 10], [""시키다"", 10], [""크다"", 10], [""식사"", 10], [""휴무"", 9], [""종류"", 9], [""여사"", 9]]"
f2688227e94f,베이키즈,광주 남구 봉선중앙로 60-3,남구,35.1262207280949,126.911662137051,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
c0428afb968e,별빛스푼 남구점,광주 남구 백운로 21,남구,35.1357224760666,126.908654197257,nan,,"아늑, 모던, 넓음","대표메뉴: 샐러드, 포케, 샌드위치 / 분위기: 아늑, 모던 / 맛: 담백, 달콤 / 주차: 가능","담백, 달콤",단체/대관,"샐러드, 포케, 샌드위치, 파스타, 브런치","샐러드, 포케, 샌드위치",가능,3,34.4,기본,"아늑,모던,담백,달콤,단체/대관","기본 추천 · 대표메뉴: 샐러드, 포케, 샌드위치 / 분위기: 아늑, 모던 / 맛: 담백, 달콤 / 주차: 가능",700~700원(대표 700원),[700],"[[""샐러드"", 40], [""별빛"", 32], [""스푼"", 32], [""포케"", 18], [""먹다"", 18], [""백운동"", 15], [""추가"", 11], [""가능"", 10], [""아보카도"", 10], [""건강"", 10], [""매장"", 9], [""토핑"", 9], [""포장"", 7], [""배달"", 7], [""식사"", 7], [""샌드위치"", 7], [""재료"", 7], [""식단"", 7], [""드레싱"", 7], [""파스타"", 6], [""느낌"", 5], [""에그마요"", 5], [""모닝"", 5], [""빵"", 5], [""야채"", 5], [""근처"", 4], [""크래미"", 4], [""소스"", 4], [""다이어트"", 4], [""언니"", 4], [""수비드"", 4], [""가슴살"", 4], [""점심"", 3], [""양림"", 3], [""카운터"", 3], [""사장"", 3], [""수제"", 3], [""병아리콩"", 3], [""용기"", 3], [""발사믹"", 3]]"
