카페id,카페이름,item(추정),price(원),raw,source,context
c86cc83a69f5,그랩앤고,아메리카노,500,500원,strict," 대로 커스텀하고 주문 완료 크레페랑 같이 주문하면 아메리카노 500원 할인되어 1,500원에 먹을 수 있어서 그것도 같이 주문했다 "
c86cc83a69f5,그랩앤고,아메리카노,1500,"1,500원",strict,"주문 완료 크레페랑 같이 주문하면 아메리카노 500원 할인되어 1,500원에 먹을 수 있어서 그것도 같이 주문했다 이제 대망의 크레페 직"
c86cc83a69f5,그랩앤고,케이크,7500,"7,500원",strict,"데이트 [ 메뉴 ] 저희가 주문한 메뉴는 생딸기 수건케이크 ( 7,500원 ) 우유크림 수건케이크 ( 4,900원 ) 바나나 크레페 ( "
c86cc83a69f5,그랩앤고,케이크,4900,"4,900원",strict," 생딸기 수건케이크 ( 7,500원 ) 우유크림 수건케이크 ( 4,900원 ) 바나나 크레페 ( 5,900원 ) 자리에 앉아서 수다를 하"
c86cc83a69f5,그랩앤고,케이크,5900,"5,900원",strict," ) 우유크림 수건케이크 ( 4,900원 ) 바나나 크레페 ( 5,900원 ) 자리에 앉아서 수다를 하다 보면 눈이 많이 오는 날이라서 "
c86cc83a69f5,그랩앤고,아이스크림,7400,"7,400원",strict," > 딸기바나나크레페(시나몬크림/생크림/시리얼/아이스크림없이) 7,400원 생딸기크레페(누텔라/생크림/시리얼/밀크아이스크림) 7,900원"
c86cc83a69f5,그랩앤고,아이스크림,7900,"7,900원",strict,"7,400원 생딸기크레페(누텔라/생크림/시리얼/밀크아이스크림) 7,900원 ⭐ 추천⭐ 짜잔 먼저 제가 주문한 생딸기크레페에요. (๑ᴖ◡ᴖ"
c86cc83a69f5,그랩앤고,아이스크림,7900,7900원,strict,해서 주문했어요 딸기/시나몬크림/초코크림/시리얼/밀크아이스크림 7900원 딸기바나나/누텔라/생크림/오레오/밀크아이스크림 8700원 친구
c86cc83a69f5,그랩앤고,아이스크림,8700,8700원,strict,크림 7900원 딸기바나나/누텔라/생크림/오레오/밀크아이스크림 8700원 친구랑 저랑 취향껏... ㅋㅋㅋㅋㅋㅋㅋㅋ 주문과 동시에 바로 
c86cc83a69f5,그랩앤고,아메리카노,1500,1500원,strict,장으로 운영되고 있답니다! 외부전경 크레페 구매시 아메리카노가 1500원! 크레페랑 아아 조합도 최고에요 가게 내부 매장 내부는 테이크
c86cc83a69f5,그랩앤고,케이크,7400,7400원,strict,오시는 딸기라서 더욱 믿음가고 신선해요 생딸기 크레페(커스텀) 7400원 생딸기 수건 케이크 8000원 오늘의 메뉴/만드는 과정 이렇게
c86cc83a69f5,그랩앤고,케이크,8000,8000원,strict,신선해요 생딸기 크레페(커스텀) 7400원 생딸기 수건 케이크 8000원 오늘의 메뉴/만드는 과정 이렇게 주문 즉시 정성스럽게 만드는 
