카페id,카페이름,가격목록,가격종류수,최소가,최대가,대표가(중앙값)
1063375943,동명당,"[2800, 3000, 13000, 15000, 21000, 30000]",6,2800,30000,14000
1078875988,오리엔스,[10000],1,10000,10000,10000
1116850746,엠버스 베이크샵,"[3300, 4500, 4800, 5000, 5500, 5800, 6000, 6500, 6800, 7000, 24300]",11,3300,24300,5800
1205175454,인세인쿠키,"[1000, 2000, 3900, 4000, 4100, 4500, 4700, 4900, 5700, 5900]",10,1000,5900,4300
1228489501,헤이드,"[2700, 3000, 3500, 4000, 4500, 4800, 5000, 5500, 5800, 7100, 7800, 9000, 9400, 9500, 10000, 12000, 17800, 22000, 22800, 23000]",20,2700,23000,7450
1336874997,인포레,"[5000, 6000, 6500, 8500, 10000, 11000, 20000]",7,5000,20000,8500
1385828521,레파스 학동점,"[500, 600, 1000, 2000, 3700, 3800, 3900, 4200, 4300, 4500, 4800, 4900, 5000, 5300, 5500, 5800, 6000, 6500, 6800, 8200]",20,500,8200,4650
1401194618,올데이피크닉,"[800, 1400, 2800, 4800, 6500, 6800, 8000, 15000]",8,800,15000,5650
1420893266,디저트39 광주충장점,[3200],1,3200,3200,3200
1470674702,아멜리아,"[17000, 28000, 42000]",3,17000,42000,28000
1472854240,로맨틱뮤지엄,[500],1,500,500,500
1483507797,빈드럭스,"[3800, 4500, 4900, 5000, 5800, 6700, 7000, 9000]",8,3800,9000,5400
1498769920,아우스밀,"[2000, 3500, 3800, 7500, 8800, 8900, 9300, 9500, 19000]",9,2000,19000,8800
1572609704,쿠키즈,"[4500, 5000, 5600, 5800, 12800]",5,4500,12800,5600
1574640772,스콘스,"[500, 4800]",2,500,4800,2650
1628997169,카카오브릭,"[1500, 2500, 3000, 3500, 5000, 5500, 6500, 6800, 7500, 13500, 45000]",11,1500,45000,5500
1630622310,아프레시,"[500, 3500, 3800, 4000, 4500, 6000, 6500, 6800, 7000, 7500, 8500, 9000]",12,500,9000,6250
1644439192,커피메이트,"[4500, 5000, 5500, 6000, 6500]",5,4500,6500,5500
1702075895,치너스,"[3700, 3800, 3900, 4000, 4200, 4400]",6,3700,4400,3950
1801135630,딜라이트베이크샵,"[1000, 12000, 13000]",3,1000,13000,12000
1812591158,로우 딥 빙 스틸,"[1500, 2500, 4000, 4500, 5000, 6000, 6500, 8200, 16900]",9,1500,16900,5000
1906962138,래터레인,"[4500, 4800, 5000, 5500, 6000, 6800]",6,4500,6800,5250
1973009351,쿠자쿠,[4000],1,4000,4000,4000
2033350956,피치핏치,"[2000, 3000, 3500, 4000, 4800, 5500, 6000, 7500]",8,2000,7500,4400
2073317566,에브르인테라스,"[3500, 3800, 4000, 4300, 4500, 4600, 5500, 6500, 7000, 7500, 8500, 9500, 11000, 13000]",14,3500,13000,6000
34589988,소맥베이커리,"[500, 800, 2300, 3000, 3500, 4700, 5500, 7000, 15000, 31900]",10,500,31900,4100
36416957,시스살롱,"[500, 1000, 1500, 4000, 5000]",5,500,5000,1500
38429681,달정원,"[3000, 5000, 14000, 22000]",4,3000,22000,9500
634883e579a8,화채업자,"[3500, 13000, 16000, 17000, 18000, 19000, 21000, 22000]",8,3500,22000,17500
7da99b1d92c3,투썸플레이스 광주동명동카페거리점,"[4500, 6000, 6500]",3,4500,6500,6000
8b9f23b0fd47,카페 마루,"[900, 1800, 5000, 6000, 8000]",5,900,8000,5000
8d581cec6243,네이비소셜클럽,"[500, 3000, 3500, 4000, 5000, 5500, 6000, 6500, 7000, 7500, 8000, 8500, 9000, 13000, 14000]",15,500,14000,6500
a7042118995c,울림,"[4000, 5700, 6000, 7300]",4,4000,7300,5850
b959c0fe9809,카페호시정,"[5000, 6500]",2,5000,6500,5750
b998f0a65106,휘핑디에그,"[500, 700, 2500, 3000, 3500, 3800, 4000, 4500, 6000, 14000, 14900, 22300, 32900]",13,500,32900,4000
c86cc83a69f5,그랩앤고,"[500, 1500, 4900, 5900, 7400, 7500, 7900, 8000, 8700]",9,500,8700,7400
dd1e19274eb4,카페도심,"[5500, 6200, 7200]",3,5500,7200,6200
f9f3e26ff99e,러블리카페,[3000],1,3000,3000,3000
