token,count
먹다,1214
동명동,711
케이크,665
빵,645
쿠키,617
동구,530
크림,457
가능,356
초콜릿,355
분위기,329
베이글,318
자리,315
주차,314
포장,308
공간,304
느낌,303
종류,296
corp.,291
딸기,286
치즈,278
주차장,276
내부,260
초코,250
소금,242
매장,238
크레페,226
라떼,222
아메리카노,216
테이블,211
시간,208
좋아하다,204
선물,202
수제,194
사다,190
예약,184
고르다,181
테라스,179
친구,176
유명,175
에그,172
판매,170
앉다,170
크다,169
사람,167
타르트,162
넓다,161
동명,158
올라가다,158
사장,155
마시다,154
나다,151
버터,151
신상,150
영업시간,148
오픈,148
빙수,147
인테리어,146
감성,146
아이스크림,145
다녀오다,144
정도,140
깔끔,139
답례,135
화채,133
드리다,132
근처,132
차,128
즐기다,127
달달하다,126
과일,125
스콘,124
구매,122
말차,121
안녕,118
골목,118
카카오,116
식감,115
달다,115
우유,115
따뜻,112
푸딩,112
휴무,111
준비,107
가격,106
에이드,105
브릭,104
메뉴판,103
단체,103
소맥,103
아이스,101
화장실,101
진하다,100
드시다,99
학동,99
빵집,98
참고,97
조합,97
재생,97
선택,94
레파스,94
봉선,94
들어오다,93
편하다,93
좌석,93
쓰다,91
어울리다,90
시그니처,89
담다,87
네이비,87
망고,86
처음,86
에어컨,86
첨단,85
레몬,84
업자,84
시키다,83
클럽,82
소셜,81
동계천,81
고급,80
기본,79
구경,79
마들렌,79
샌드위치,78
인기,77
작다,77
고소,76
보관,76
고소하다,76
주말,76
조용,76
달콤,75
입구,75
넣다,74
식빵,74
무료,73
기다리다,73
생기다,72
바닐라,72
충장로,72
사용,71
날씨,71
건물,71
고민,71
소품,71
봉선동,71
백서,71
장동,70
운영,70
기분,69
외관,69
비주얼,69
가게,69
혼자,68
인세,68
밤,67
자체,67
전체,66
모습,65
acc,65
바나나,65
저녁,65
개인,65
아이,65
아늑,65
대형,64
데이,64
야경,64
펴다,63
시작,63
쪼다,63
화이트,63
휘낭시에,63
밀크티,63
에브르,63
이상,62
올리다,62
도심,62
맛보다,61
서석,61
편안,59
만족,59
모르다,59
의자,59
여유,59
일요일,58
마음,57
이벤트,57
할인,57
맞다,56
피크닉,56
밀크,55
식사,55
취향,54
쫀득하다,54
풍미,54
보내다,54
조화,53
오후,53
추가,53
안쪽,53
내다,53
마루,53
사랑,52
시원,52
잼,52
조명,52
카라멜,52
스틱,52
계단,52
데이트,52
요크셔,52
영업,51
위하다,51
크리스마스,51
꾸미다,51
구성,51
오랜만,51
정기,51
세트,51
사이즈,51
기대,50
재미,50
당일,50
늦다,50
수완,50
정원,50
아래,49
남다,49
오레오,49
외부,49
토스트,49
이름,48
배달,48
궁금,48
마카롱,48
촉촉,47
동반,47
모양,46
사이,46
카페인,46
미니,46
쉬다,46
평일,46
거리,45
정보,45
팔로워,45
나누다,45
제봉로,45
오더,45
높다,44
간식,44
팔로잉,44
게시물,44
산미,44
매력,44
라인업,44
이야기,44
살롱,44
두바이,44
세척,44
라스트,44
재료,43
광산구,43
번호,43
과자,43
피스타치오,43
플랜,43
어우러지다,42
크기,42
여름,42
이유,42
들르다,42
업체,42
시스,42
메이트,42
청소,42
전화,41
만나다,41
제작,41
주변,41
읽다,41
힐링,41
스미다,41
본점,40
테이크아웃,40
확인,40
센스,40
부담,40
무화과,40
블루베리,40
여행,40
문화,40
수박,40
곳곳,39
다르다,39
녹다,39
행복,39
포인트,39
야외,39
