카페id,카페이름,item(추정),price(원),raw,source,context
1382351772,글로어 전대정문점,콜드브루,3500,"3,500원",strict,"도 다양한 메뉴들이 적혀있었어요!! 주문내역 콜드브루 디카페인(3,500원) / 생딸기쥬스(3,200원) / 초코퍼지 도넛(4,000원)"
1382351772,글로어 전대정문점,콜드브루,3200,"3,200원",strict,"요!! 주문내역 콜드브루 디카페인(3,500원) / 생딸기쥬스(3,200원) / 초코퍼지 도넛(4,000원) / 생크림딸기 링도넛(4,6"
1382351772,글로어 전대정문점,초코,4000,"4,000원",strict,"(3,500원) / 생딸기쥬스(3,200원) / 초코퍼지 도넛(4,000원) / 생크림딸기 링도넛(4,600원) / 우유생크림 카스텔(4"
1382351772,글로어 전대정문점,초코,4600,"4,600원",strict,"00원) / 초코퍼지 도넛(4,000원) / 생크림딸기 링도넛(4,600원) / 우유생크림 카스텔(4,200원) 진동벨마저 귀엽자나..?"
1382351772,글로어 전대정문점,,4200,"4,200원",strict,"원) / 생크림딸기 링도넛(4,600원) / 우유생크림 카스텔(4,200원) 진동벨마저 귀엽자나..?? 주문을 하고 차근차근 1층을 둘러"
1382351772,글로어 전대정문점,,900,900원,strict,히는 식감과 풍미가 정말 잘어울리면서 조화로워 우유크림도넛 3.900원 우유크림은 진한 우유크림의 맛이 나는 크림이 가득하고 넘치게 
1382351772,글로어 전대정문점,말차,3900,"3,900",loose," 골고루 있어서 누구나 좋아할 듯해요 주문한메뉴 우유크림 도넛 3,900 인절미 도넛 3,900 말차크림 도넛 3,800 앙버터 도넛 "
1382351772,글로어 전대정문점,말차,3800,"3,800",loose,"우유크림 도넛 3,900 인절미 도넛 3,900 말차크림 도넛 3,800 앙버터 도넛 3,800 주문하고 매장 둘러보는데 수제청, 수제"
1382351772,글로어 전대정문점,샌드위치,3800,"3,800",loose," 인절미 도넛 3,900 말차크림 도넛 3,800 앙버터 도넛 3,800 주문하고 매장 둘러보는데 수제청, 수제요거트, 샌드위치, 카스"
1476552993,다스브로트,에이드,4300,4300원,strict,련되어 있으니 편하게 이용하시면 된답니다. 메뉴 •오늘의커피: 4300원 •토마토바질에이드: 6800원 이날은 근처 비엔날레에서 열심히
1476552993,다스브로트,에이드,6800,6800원,strict, 된답니다. 메뉴 •오늘의커피: 4300원 •토마토바질에이드: 6800원 이날은 근처 비엔날레에서 열심히 산책도 하고 공연도 봐서 시원
1476552993,다스브로트,아메리카노,4500,"4,500원",strict,"저희는 디카페인 아메리카노, 아메리카노*3 다크초코바닐라파운드(4,500원) 코코넛크림빵(4,000원) 픽! 저녁 먹어야해서 조절했어요 "
1476552993,다스브로트,아메리카노,4000,"4,000원",strict," 아메리카노*3 다크초코바닐라파운드(4,500원) 코코넛크림빵(4,000원) 픽! 저녁 먹어야해서 조절했어요 ㅎㅎ 후기 계란, 우유가 들"
1476552993,다스브로트,식빵,6500,6500원,strict, 전부 쌀가루로 만든 빵이라고 하셨다. 호두 크랜베리 쌀 식빵 6500원 올리브 쌀 식빵 6000원 진도 찰 쑥 쌀 식빵 5500원 백
1476552993,다스브로트,식빵,6000,6000원,strict,고 하셨다. 호두 크랜베리 쌀 식빵 6500원 올리브 쌀 식빵 6000원 진도 찰 쑥 쌀 식빵 5500원 백미 쌀 식빵 4500원 다크
1476552993,다스브로트,식빵,5500,5500원,strict,빵 6500원 올리브 쌀 식빵 6000원 진도 찰 쑥 쌀 식빵 5500원 백미 쌀 식빵 4500원 다크초코 쌀 식빵 4500원 솔티드 
1476552993,다스브로트,식빵,4500,4500원,strict,식빵 6000원 진도 찰 쑥 쌀 식빵 5500원 백미 쌀 식빵 4500원 다크초코 쌀 식빵 4500원 솔티드 러스크 4500원 쌀 소금
1476552993,다스브로트,크림빵,4500,4500원,strict,쌀 식빵 5500원 백미 쌀 식빵 4500원 다크초코 쌀 식빵 4500원 솔티드 러스크 4500원 쌀 소금 빵 3500원 흑임자 크림빵
1476552993,다스브로트,크림빵,3500,3500원,strict,초코 쌀 식빵 4500원 솔티드 러스크 4500원 쌀 소금 빵 3500원 흑임자 크림빵 4000원 코코넛 크림빵 4000원 이쪽은 계산
1476552993,다스브로트,크림빵,4000,4000원,strict,솔티드 러스크 4500원 쌀 소금 빵 3500원 흑임자 크림빵 4000원 코코넛 크림빵 4000원 이쪽은 계산대 옆 공간으로 다크초코 
1476552993,다스브로트,마들렌,4500,4500원,strict, 4000원 이쪽은 계산대 옆 공간으로 다크초코 바닐라 파운드 4500원 쑥무화과 파운드 4500원 제주유자 마들렌 3000원 에스프레
1476552993,다스브로트,에스프레소,4500,4500원,strict,옆 공간으로 다크초코 바닐라 파운드 4500원 쑥무화과 파운드 4500원 제주유자 마들렌 3000원 에스프레소 마들렌 3300원 제주말
1476552993,다스브로트,에스프레소,3000,3000원,strict, 파운드 4500원 쑥무화과 파운드 4500원 제주유자 마들렌 3000원 에스프레소 마들렌 3300원 제주말차 마들렌 3300원 초코 
1476552993,다스브로트,에스프레소,3300,3300원,strict,파운드 4500원 제주유자 마들렌 3000원 에스프레소 마들렌 3300원 제주말차 마들렌 3300원 초코 마들렌 3500원 한쪽에는 어
1476552993,다스브로트,마들렌,3500,3500원,strict,레소 마들렌 3300원 제주말차 마들렌 3300원 초코 마들렌 3500원 한쪽에는 어린이 음료와 과일주스도 판매중>< 카페 메뉴판 우리
1476552993,다스브로트,식빵,4300,4300원,strict,매중>< 카페 메뉴판 우리가 주문한 메뉴는 오늘의 커피 아이스 4300원 다크초코 쌀식빵 4500원 백미 쌀식빵 4500원 블루베리 쌀
1476552993,다스브로트,식빵,6000,"6,000원",strict," 몇 가지 사진 못했어요. Order Menu 올리브 쌀 식빵 6,000원 참쑥 쌀 식빵 5,500원 쌀 소금 빵 3,000원 -서비스-"
1476552993,다스브로트,마들렌,5500,"5,500원",strict,"Order Menu 올리브 쌀 식빵 6,000원 참쑥 쌀 식빵 5,500원 쌀 소금 빵 3,000원 -서비스- 녹차 크랜베리 마들렌 3,"
1476552993,다스브로트,마들렌,3000,"3,000원",strict," 쌀 식빵 6,000원 참쑥 쌀 식빵 5,500원 쌀 소금 빵 3,000원 -서비스- 녹차 크랜베리 마들렌 3,000원 (비건, 글루텐 "
1476552993,다스브로트,아메리카노,4300,"4,300원",strict,"재생 0 좋아요 0 다스브로트 단풍맛집 커피 아메리카노 가격은 4,300원 그리고 바닐라빈 라떼가 진짜 맛있긴 해요! 저는 커피쟁이라 아"
f8a4b5b58d2a,라이트라이트샵,타르트,6800,"6,800",loose,"와인과 치즈도 구매할 수 있어요. 주문한 메뉴 코코넛커피스무디 6,800 바닐라 라떼(ICE) 5,600 에그타르트 2,700 저는 라"
f8a4b5b58d2a,라이트라이트샵,타르트,5600,"5,600",loose," 주문한 메뉴 코코넛커피스무디 6,800 바닐라 라떼(ICE) 5,600 에그타르트 2,700 저는 라이트라이트샵의 시그니처 커피인 코"
f8a4b5b58d2a,라이트라이트샵,타르트,2700,"2,700",loose,"피스무디 6,800 바닐라 라떼(ICE) 5,600 에그타르트 2,700 저는 라이트라이트샵의 시그니처 커피인 코코넛커피스무디와 바닐라"
8731abe92d0c,미미당906 광주점,아메리카노,4500,"4,500원",strict,"제로 운영되니 참고바래요ㅎㅎ) 주문 메뉴 • 아이스 아메리카노 4,500원 • 백향과에이드 6,000원 • 망고보틀케이크 8,500원 •"
8731abe92d0c,미미당906 광주점,아메리카노,6000,"6,000원",strict," 주문 메뉴 • 아이스 아메리카노 4,500원 • 백향과에이드 6,000원 • 망고보틀케이크 8,500원 • 백향과에이드 톡 쏘는 탄산에"
8731abe92d0c,미미당906 광주점,케이크,8500,"8,500원",strict,"노 4,500원 • 백향과에이드 6,000원 • 망고보틀케이크 8,500원 • 백향과에이드 톡 쏘는 탄산에 백향과 특유의 열대과일 향이 "
