카페id,카페이름,주소,지역(구단위),좌표(lat),좌표(lng),지도링크,카페이미지url,분위기,간이유,맛,동반자,메뉴,주요메뉴,주차여부,블로그수,추천점수(0-100),추천유형,추천태그,추천문구,가격요약,가격목록,키워드TOP40
20c8a37e19df,010카페 2호점,광주 북구 우치로 104-8,북구,35.176682492063634,126.91289968851638,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1566118570,거북당 전대예대점,광주 북구 용주로34번길 26,북구,35.1809251,126.9024879,https://pcmap.place.naver.com/place/1566118570/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNTA2MTBfMTU0%2FMDAxNzQ5NTI2NTE1MTQy.t-d75m0g4c5e30DxWg9oxDFcirTBOw5e8FgVejt3Gtgg.h7yQSlktdI48s25tbFG_90zP0pWhOx70lyDPLRW_NtAg.JPEG%2FAF2BCD20-E9E4-4109-B04F-5C70B57DAA4A.jpeg,"아늑, 조용","대표메뉴: 아메리카노, 케이크, 젤라또 / 분위기: 아늑, 조용 / 주차: 가능",,"데이트, 혼카페/작업","아메리카노, 케이크, 젤라또","아메리카노, 케이크, 젤라또",가능,1,22.0,데이트,"아늑,조용,데이트","데이트 추천 · 대표메뉴: 아메리카노, 케이크, 젤라또 / 분위기: 아늑, 조용 / 주차: 가능",,[],"[[""거북"", 11], [""외관"", 4], [""내부"", 4], [""기숙사"", 4], [""느낌"", 4], [""분위기"", 3], [""느리다"", 3], [""공간"", 3], [""사람"", 3], [""마시다"", 3], [""아메리카노"", 3], [""주차"", 2], [""메뉴판"", 2], [""솔직"", 2], [""총평"", 2], [""전남대"", 2], [""뒤쪽"", 2], [""북구"", 2], [""전남대학교"", 2], [""오더"", 2], [""인테리어"", 2], [""차분"", 2], [""동생"", 2], [""지치다"", 2], [""휴식"", 2], [""테이블"", 2], [""트이다"", 2], [""시야"", 2], [""초콜릿"", 2], [""얼음"", 2], [""마지막"", 1], [""지나다"", 1], [""corp."", 1], [""전대"", 1], [""예대"", 1], [""인근"", 1], [""골목"", 1], [""주차장"", 1], [""그린"", 1], [""아파트"", 1]]"
1382351772,글로어 전대정문점,광주 북구 자미로 64,북구,35.1716587,126.9047529,https://pcmap.place.naver.com/place/1382351772/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220621_64%2F1655800432020UddrI_JPEG%2F%25BA%25B8%25C1%25A4%25BA%25B8%25C1%25A4A7R03246.jpg,"넓음, 키즈/가족친화, 감성","대표메뉴: 말차, 초코, 샌드위치 / 분위기: 넓음, 키즈/가족친화 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능","상큼, 쌉싸름/다크, 고소","단체/대관, 데이트, 친구","말차, 초코, 샌드위치, 라떼, 빙수, 바닐라, 샐러드, 아메리카노","말차, 초코, 샌드위치",가능,8,70.7,데이트,"넓음,키즈/가족친화,상큼,쌉싸름/다크,단체/대관","데이트 추천 · 대표메뉴: 말차, 초코, 샌드위치 / 분위기: 넓음, 키즈/가족친화 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능",900~4600원(대표 3850원),"[900, 3200, 3500, 3800, 3900, 4000, 4200, 4600]","[[""도넛"", 198], [""크림"", 116], [""정문"", 72], [""전대"", 70], [""먹다"", 52], [""우유"", 49], [""수제"", 32], [""말차"", 26], [""딸기"", 23], [""버터"", 23], [""포장"", 21], [""요거트"", 21], [""북구"", 17], [""신안동"", 15], [""가능"", 15], [""주차"", 15], [""판매"", 15], [""종류"", 15], [""테이블"", 15], [""자미로"", 14], [""스무디"", 14], [""올라가다"", 14], [""카스테라"", 13], [""넓다"", 13], [""고르다"", 13], [""초코"", 13], [""레몬"", 13], [""좋아하다"", 12], [""카야"", 12], [""골목"", 11], [""샌드위치"", 11], [""라떼"", 11], [""준비"", 11], [""달달하다"", 11], [""치즈"", 11], [""유자"", 11], [""나다"", 10], [""아이스"", 10], [""전대정"", 9], [""빙수"", 9]]"
1476552993,다스브로트,광주 북구 하서로 52,북구,35.182593,126.8854496,https://pcmap.place.naver.com/place/1476552993/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240919_150%2F1726731790559CUMmo_PNG%2F%25B4%25D9%25BD%25BA%25BA%25EA%25B7%25CE%25C6%25AE_%25B7%25CE%25B0%25ED_%25B1%25E2%25BA%25BB_%25B4%25EB%25C1%25F6_1_%25BB%25E7%25BA%25BB_6.png,"넓음, 테라스, 키즈/가족친화","대표메뉴: 식빵, 초코, 아메리카노 / 분위기: 넓음, 테라스 / 맛: 담백, 쌉싸름/다크 / 주차: 가능","담백, 쌉싸름/다크, 단짠/짭짤","가족, 데이트, 친구","식빵, 초코, 아메리카노, 마들렌, 바닐라, 에이드, 라떼, 아이스크림","식빵, 초코, 아메리카노",가능,10,73.3,데이트,"넓음,테라스,담백,쌉싸름/다크,가족","데이트 추천 · 대표메뉴: 식빵, 초코, 아메리카노 / 분위기: 넓음, 테라스 / 맛: 담백, 쌉싸름/다크 / 주차: 가능",3000~6800원(대표 4400원),"[3000, 3300, 3500, 4000, 4300, 4500, 5500, 6000, 6500, 6800]","[[""빵"", 66], [""쌀"", 45], [""미술관"", 42], [""식빵"", 35], [""먹다"", 33], [""시립"", 24], [""북구"", 23], [""공간"", 21], [""초코"", 20], [""공원"", 18], [""하서로"", 17], [""운암"", 17], [""단풍"", 16], [""주차"", 14], [""중외"", 14], [""가능"", 13], [""매장"", 13], [""자리"", 13], [""건강"", 13], [""시간"", 12], [""비다"", 12], [""산책"", 12], [""다크"", 12], [""분위기"", 11], [""넓다"", 11], [""광주시립미술관"", 11], [""테라스"", 11], [""깔끔"", 11], [""종류"", 11], [""아이"", 11], [""엄마"", 10], [""아메리카노"", 10], [""느낌"", 10], [""즐기다"", 10], [""주차장"", 9], [""포장"", 9], [""좌석"", 9], [""앉다"", 9], [""corp."", 9], [""소금"", 9]]"
d7ff18b0813a,다우카페 아쿠아시티 매곡점,광주 북구 서하로 82,북구,35.18713342294626,126.88935535397168,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
967567973,더플레인,광주 북구 서양로 21,북구,35.1709575,126.9037658,https://pcmap.place.naver.com/place/967567973/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250422_278%2F1745311354435wh4Si_JPEG%2F724EBCCC-0817-4128-8361-469D177D9ACC.jpeg,모던,"대표메뉴: 케이크, 초코, 쿠키 / 분위기: 모던 / 맛: 달콤, 쌉싸름/다크","달콤, 쌉싸름/다크, 상큼",,"케이크, 초코, 쿠키, 바닐라, 밀크티, 에스프레소, 말차, 아이스크림","케이크, 초코, 쿠키",,1,36.0,기본,"모던,달콤,쌉싸름/다크","기본 추천 · 대표메뉴: 케이크, 초코, 쿠키 / 분위기: 모던 / 맛: 달콤, 쌉싸름/다크",,[],"[[""마카롱"", 39], [""케이크"", 16], [""먹다"", 11], [""초코"", 7], [""달다"", 5], [""플레이"", 4], [""화이트데이"", 4], [""결혼기념일"", 4], [""배달"", 4], [""좋아하다"", 4], [""돼지바"", 4], [""무화과"", 4], [""제작"", 3], [""플레인"", 3], [""종류"", 3], [""보관"", 3], [""쫀득하다"", 3], [""알아보다"", 3], [""바닐라"", 3], [""크림"", 3], [""복숭아"", 3], [""쿠키"", 3], [""밀크티"", 3], [""기념"", 2], [""쿠팡"", 2], [""사다"", 2], [""가지다"", 2], [""위하다"", 2], [""사탕"", 2], [""선물"", 2], [""구매"", 2], [""시간"", 2], [""락앤락"", 2], [""드시다"", 2], [""맞다"", 2], [""추가"", 2], [""비주얼"", 2], [""박히다"", 2], [""에스프레소"", 2], [""달달하다"", 2]]"
1424394702,디저트39 전대점,광주 북구 호동로 12-8,북구,35.1744773,126.9141946,https://pcmap.place.naver.com/place/1424394702/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210715_198%2F1626322382001xCcD3_JPEG%2FJ7Lb5mbMhRtcB3kBVf7ngCFG.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
7bb6919196c6,디저트카페달달,광주 북구 송월로49번길 1,북구,35.1882038678692,126.913239838268,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
f8a4b5b58d2a,라이트라이트샵,광주 북구 우치로64번길 55,북구,35.17287500701793,126.91522548118628,nan,,"감성, 아늑, 넓음","대표메뉴: 스콘, 타르트, 바닐라 / 분위기: 감성, 아늑 / 맛: 담백, 상큼 / 주차: 혼재(확인필요)","담백, 상큼, 고소","단체/대관, 데이트, 혼카페/작업","스콘, 타르트, 바닐라, 아메리카노, 라떼, 마들렌, 샌드위치, 휘낭시에","스콘, 타르트, 바닐라",혼재(확인필요),4,43.3,데이트,"감성,아늑,담백,상큼,단체/대관","데이트 추천 · 대표메뉴: 스콘, 타르트, 바닐라 / 분위기: 감성, 아늑 / 맛: 담백, 상큼 / 주차: 혼재(확인필요)",2700~6800원(대표 5600원),"[2700, 5600, 6800]","[[""라이트"", 64], [""주택"", 17], [""개조"", 16], [""중흥"", 16], [""감성"", 12], [""먹다"", 11], [""예약"", 9], [""가능"", 9], [""와인"", 9], [""북구"", 8], [""스콘"", 8], [""단체"", 8], [""타르트"", 7], [""우치로"", 6], [""주차"", 6], [""코코넛"", 6], [""스무디"", 6], [""분위기"", 6], [""에그"", 6], [""바닐라"", 6], [""올라가다"", 5], [""아메리카노"", 5], [""공간"", 5], [""재생"", 5], [""펴다"", 5], [""북구청"", 4], [""소품"", 4], [""계단"", 4], [""넣다"", 4], [""light"", 4], [""라떼"", 4], [""corp."", 3], [""후문"", 3], [""풍경"", 3], [""휘낭시"", 3], [""아늑"", 3], [""시간"", 3], [""자리"", 3], [""이야기"", 3], [""나누다"", 3]]"
1261014535,무니케이크,광주 북구 금호로40번길 16,북구,35.1731805,126.8902501,https://pcmap.place.naver.com/place/1261014535/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240222_209%2F1708568077836u4F5h_JPEG%2F6F8A6155-F39D-4001-84FE-8BEF158C5C5F.jpeg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
