token,count
먹다,910
빵,696
크림,463
소금,434
케이크,426
북구,373
딸기,370
도넛,346
공간,319
가능,281
주차,240
분위기,234
매장,223
호두,222
테이블,212
초코,206
느낌,192
종류,190
포장,185
좋아하다,178
자리,171
corp.,168
내부,167
시간,162
치즈,154
베이글,153
크다,150
라떼,148
즐기다,145
버터,144
주차장,139
아메리카노,137
수제,134
고르다,132
단체,131
첨단,131
전대,128
넓다,128
사다,123
과자,121
빙수,119
중흥동,119
타르트,118
브런치,115
우유,114
아이,114
화순,114
과일,109
마시다,108
감성,106
깔끔,106
예약,105
인테리어,104
앉다,102
달달하다,101
영업시간,100
달다,100
판매,98
준비,96
에그,96
골목,94
근처,94
사장,92
하우스,91
쿠키,90
크레이프,90
정도,89
드리다,89
안녕,88
나다,85
지구,85
수플레,84
정문,83
사람,82
친구,81
답례,80
식감,78
대형,78
다방,78
올라가다,77
쌀,77
입구,75
다녀오다,75
휴무,75
브릿지,75
상무,74
메뉴판,73
참고,73
선물,73
가격,73
유명,72
간식,71
오픈,71
어울리다,71
기분,70
구매,68
좌석,68
말차,68
화장실,67
차,66
식빵,66
상무지구,66
맞다,65
편하다,65
밤,65
라이트,65
중흥,65
작다,64
재생,63
문화,63
떡,63
꼬다,63
처음,61
건물,61
소품,60
아이스,60
샌드위치,60
요거트,59
망고,59
들어오다,58
고구마,58
에이드,57
바닐라,57
진하다,57
아이스크림,57
여유,56
따뜻,56
기본,56
시그니처,56
혼자,56
사용,55
마음,55
시키다,55
가게,55
외관,54
달콤,54
마카롱,54
팥,53
의자,52
조합,52
정기,52
하이,52
전체,51
꾸미다,51
스위트,51
스무디,50
식물,50
저녁,50
선택,50
주변,50
쓰다,50
두바이,50
다르다,49
운영,49
인기,49
크레버터,49
담다,48
드시다,48
고소하다,47
조명,47
레몬,47
피자,47
앤 셜리,47
아파트,46
구성,46
추가,46
비주얼,46
스콘,46
양산동,46
복합,45
기대,44
개인,44
카운터,43
미술관,43
가족,43
구경,43
카페인,43
마련,43
안쪽,42
고민,42
취향,42
주말,42
조용,42
바우,42
위하다,41
매력,41
외부,41
대여,41
자체,40
주스,40
자연,40
바질,40
고소,40
식사,39
배달,39
모임,39
세트,39
쫀득하다,39
생기다,39
내다,39
키오스크,39
시장,39
시즌,38
품절,38
펴다,38
모르다,38
전화,38
코코넛,38
나누다,38
특별,38
촉촉,38
아기,38
부분,38
앙금,38
오더,37
재료,37
보내다,37
남다,37
이븐베터,37
아늑,36
마들렌,36
휘낭시에,36
트리,36
부담,36
평일,36
날씨,36
미로,36
루프,36
들르다,35
조화,35
영업,35
장소,35
정보,35
블루베리,35
이유,35
테라스,35
창가,35
쪼다,35
미니,35
설빙,35
데이지,35
편안,34
여름,34
곳곳,34
시럽,34
맛보다,34
넣다,33
모습,33
늦다,33
재미,33
가지다,33
이야기,33
읽다,33
건강,33
기다리다,32
복숭아,32
토마토,32
야외,32
오후,32
무화과,32
라스트,32
단맛,32
까눌레,32
쇼케이스,31
찌다,31
사이,31
높다,31
엄마,31
신상,31
확인,31
이상,31
이름,31
무등산,31
모찌,31
은은,30
행복,30
힘들다,30
초록,30
넘다,30
파스타,30
덕분,29
음식,29
힐링,29
공부,29
운암,29
포인트,29
월요일,29
빠지다,29
후문,29
필요,29
호두과자,29
상가,29
케주,29
초콜릿,28
박스,28
만족,28
비다,28
궁금,28
마을,28
완두,28
