카페id,카페이름,item(추정),price(원),raw,source,context
41e3d24ac086,노티드 광주상무점,케이크,7800,"7,800원",strict,"귀엽고 예쁘고 가격 착하고!! 5가지 케이크가 있었는데 가격이 7,800원 부터 젤 비싼게 27,000원이라 부담없이 파티를 즐길수 있겠"
41e3d24ac086,노티드 광주상무점,케이크,27000,"27,000원",strict," 5가지 케이크가 있었는데 가격이 7,800원 부터 젤 비싼게 27,000원이라 부담없이 파티를 즐길수 있겠더라구요! 이제 도넛 고를 차례"
41e3d24ac086,노티드 광주상무점,바닐라,2500,"2,500원",strict,", 치즈폼바닐라빈 라떼 주문! 광주상무점 노티드 도넛 가격대는 2,500원~5,000 그 사이로 3,000원대가 젤 많았어요! ⬇ 감상타"
41e3d24ac086,노티드 광주상무점,,3000,"3,000원",strict,"상무점 노티드 도넛 가격대는 2,500원~5,000 그 사이로 3,000원대가 젤 많았어요! ⬇ 감상타임 보셨나요~~ 진열장에는 정말 다"
41e3d24ac086,노티드 광주상무점,피스타치오,2000,"2,000원",strict,"코, 피스타치오 등등등 진짜 선택장애 유발주의보 보냉백 포장도 2,000원으로 엄청 귀여운 노티드 백에 해주시네요 ㅎ 이제 선택의 시간 "
41e3d24ac086,노티드 광주상무점,라떼,5000,"5,000",loose,"라빈 라떼 주문! 광주상무점 노티드 도넛 가격대는 2,500원~5,000 그 사이로 3,000원대가 젤 많았어요! ⬇ 감상타임 보셨나요"
1682517458,도지커피,아메리카노,15000,15000원,strict,성이 보장된다고 느꼈어요 귀여운 캐릭터가 돋보이는 도지커피 빵 15000원 이상 구매 시 아메리카노 1잔 무료 저녁 시간에 방문했을 때 
1173537642,등화,,3500,"3,500원",strict,"들 왜안가?! 아니 저만 갈게요 >< 무화과 모찌(팥앙금) - 3,500원 귤모찌 (팥앙금) - 3,500원 너무 예쁜 무화과 모찌 반갈"
1173537642,등화,,4000,"4,000원",strict," 무화과 모찌중에 비쥬얼 최고예요. 골드키위 모찌(백앙금) - 4,000원 골드키위 역대급... 세상에서 먹어본 골드키위 중에 제일 달아"
1173537642,등화,아메리카노,2500,2500원,strict,"찹쌀떡은 물론이고, 카페 음료도 다양하다 무엇보다 아메리카노가 2500원이라니!!! 내부 모습은 아담한 편이지만 테이블은 그래도 5~6"
1173537642,등화,아메리카노,2500,"2,500원",strict," 되게 화려해서 들어가 보고 싶게(?) 생겼어요! 아메리카노가 2,500원이라니 대혜자죠?? 요기가 완존 포토존 스팟이더라구요 한 여름에"
1173537642,등화,,10000,"10,000원",strict,"있어요 또한 매장에서는 네이버 영수증 이벤트를 진행 중이에요! 10,000원 이상 구매 후 네이버 영수증 리뷰를 직원분께 보여드리면 미니초"
1173537642,등화,케이크,4000,"4,000원",strict,"울샷 찍을수있는 자리도 있다. 과일모찌는 가격이 3,500 - 4,000원대로 구성되어있고, 커피는 5,500원 내로 케이크류는 6,00"
1173537642,등화,케이크,5500,"5,500원",strict,"는 가격이 3,500 - 4,000원대로 구성되어있고, 커피는 5,500원 내로 케이크류는 6,000원대로 구성되어있다. 딸기적앙금(팥)"
1173537642,등화,케이크,6000,"6,000원",strict,"000원대로 구성되어있고, 커피는 5,500원 내로 케이크류는 6,000원대로 구성되어있다. 딸기적앙금(팥) (3,500) 파인애플적앙금"
1173537642,등화,케이크,3500,"3,500",loose,"로 케이크류는 6,000원대로 구성되어있다. 딸기적앙금(팥) (3,500) 파인애플적앙금(팥) (3,500) 바나나적앙금(팥) (3,5"
1173537642,등화,아메리카노,3500,"3,500",loose,"500) 파인애플적앙금(팥) (3,500) 바나나적앙금(팥) (3,500) 애플청포도백앙금(콩) (3,500) 아메리카노(2,500) "
1173537642,등화,아메리카노,2500,"2,500",loose," (3,500) 애플청포도백앙금(콩) (3,500) 아메리카노(2,500) 선물포장하는 방법이 다양해서 선물하는 자리나 받는 분에게 격"
466f73888ad4,로렌베이커리카페,아메리카노,3000,"3,000원",strict,"문난 히트 상품이라고...! 예쁜 것이 맛도 좋다! 아메리카노 3,000원 + 유자차 5,000원 + 소보루생크림빵 2,500원 + 넛츠"
466f73888ad4,로렌베이커리카페,아메리카노,5000,"5,000원",strict,".! 예쁜 것이 맛도 좋다! 아메리카노 3,000원 + 유자차 5,000원 + 소보루생크림빵 2,500원 + 넛츠라벨 4,500원 + 돈"
466f73888ad4,로렌베이커리카페,크림빵,2500,"2,500원",strict,"메리카노 3,000원 + 유자차 5,000원 + 소보루생크림빵 2,500원 + 넛츠라벨 4,500원 + 돈까스버거 7,600원 그 외 선"
466f73888ad4,로렌베이커리카페,크림빵,4500,"4,500원",strict,"유자차 5,000원 + 소보루생크림빵 2,500원 + 넛츠라벨 4,500원 + 돈까스버거 7,600원 그 외 선물용 한 봉지 포장 주문까"
466f73888ad4,로렌베이커리카페,크림빵,7600,"7,600원",strict,"루생크림빵 2,500원 + 넛츠라벨 4,500원 + 돈까스버거 7,600원 그 외 선물용 한 봉지 포장 주문까지 완료. [장점 셋] 커피"
1878671050,로지에,바닐라,3500,3500원,strict,네요 ! 그래서 슈 종류가 짱 많습니다. (기본) 천연 바닐라 3500원 녹차 3500원 카라멜 4000원 레몬머랭 4000원 70% 
1878671050,로지에,바닐라,4000,4000원,strict,니다. (기본) 천연 바닐라 3500원 녹차 3500원 카라멜 4000원 레몬머랭 4000원 70% 초콜릿 4500원 파리브레스트 45
1878671050,로지에,피스타치오,4000,4000원,strict, 바닐라 3500원 녹차 3500원 카라멜 4000원 레몬머랭 4000원 70% 초콜릿 4500원 파리브레스트 4500원 피스타치오-라
1878671050,로지에,피스타치오,4500,4500원,strict,3500원 카라멜 4000원 레몬머랭 4000원 70% 초콜릿 4500원 파리브레스트 4500원 피스타치오-라즈베리 5000원 슈 뿐만
1878671050,로지에,피스타치오,5000,5000원,strict, 초콜릿 4500원 파리브레스트 4500원 피스타치오-라즈베리 5000원 슈 뿐만 아니라 다른 종류의 디저트도 있는데요~! 전 이게 너
1878671050,로지에,,12500,12500원,strict, 종류의 디저트도 있는데요~! 전 이게 너무 예뻤어요 프리지에 12500원 샤를로트 프레즈 12500원 생토노레 10500원 잔두야 프로
1878671050,로지에,,10500,10500원,strict,요 프리지에 12500원 샤를로트 프레즈 12500원 생토노레 10500원 잔두야 프로피테롤 13000원 이름은 생각보다 꽤나 생소한편이
1878671050,로지에,,13000,13000원,strict,트 프레즈 12500원 생토노레 10500원 잔두야 프로피테롤 13000원 이름은 생각보다 꽤나 생소한편이긴 하죠? 예쁜디저트를 보면 왜
1878671050,로지에,,12000,"12,000원",strict,"드실까 사장님 금손 케이쿠도 넘 예쁜데 넘 비싸 .. 힝 기본 12,000원 정도 .. 근데 정말 딱 봐도 고급지긴하다 가운데 이건 가격표"
1878671050,로지에,,34000,"34,000원",strict," 하시는 거 같더라고요. 블루 리본도 받았네요. 슈 8개 세트 34,000원 주문하고 구석구석 더 찍어 봅니다. 의자랑 테이블 조명 등이 "
1878671050,로지에,,3500,3500원,strict,"스타치오-라즈베리 슈 종류만 8종! 엄청 많더라고요!! 가격은 3500원~5000원 사이에요 슈 8개 세트 34,000원 이건 완전 선"
1878671050,로지에,,5000,5000원,strict,"즈베리 슈 종류만 8종! 엄청 많더라고요!! 가격은 3500원~5000원 사이에요 슈 8개 세트 34,000원 이건 완전 선물하기 좋을"
1878671050,로지에,치즈케이크,10500,"10,500원",strict," 제가 간 날에는 요렇게 5종류 있었습니다! 카라향 치즈케이크 10,500원 프리지에 12,500원 생토노레 10,500원 산딸기 케이크 "
1878671050,로지에,치즈케이크,12500,"12,500원",strict," 5종류 있었습니다! 카라향 치즈케이크 10,500원 프리지에 12,500원 생토노레 10,500원 산딸기 케이크 12,000원 티라미수 "
1878671050,로지에,티라미수,12000,"12,000원",strict," 프리지에 12,500원 생토노레 10,500원 산딸기 케이크 12,000원 티라미수 10,000원 슈가 넘 한입거리지만. 후기도 엄청 좋"
1878671050,로지에,티라미수,10000,"10,000원",strict," 생토노레 10,500원 산딸기 케이크 12,000원 티라미수 10,000원 슈가 넘 한입거리지만. 후기도 엄청 좋으니 맛에 이유가 있겠지"
1878671050,로지에,아메리카노,5000,5000원,strict, 맛에 이유가 있겠지 하며 주문해봤어요 주문한 메뉴 아메리카노 5000원 4잔과 슈는 요렇게 3개 주문 녹차 3500원 레몬머랭 400
1878671050,로지에,아메리카노,3500,3500원,strict,메뉴 아메리카노 5000원 4잔과 슈는 요렇게 3개 주문 녹차 3500원 레몬머랭 4000원 70%초콜릿 4500원 아메리카노는 특별한
1878671050,로지에,아메리카노,4000,4000원,strict,00원 4잔과 슈는 요렇게 3개 주문 녹차 3500원 레몬머랭 4000원 70%초콜릿 4500원 아메리카노는 특별한 맛은 아니구 방금 
1878671050,로지에,아메리카노,4500,4500원,strict,게 3개 주문 녹차 3500원 레몬머랭 4000원 70%초콜릿 4500원 아메리카노는 특별한 맛은 아니구 방금 먹고 온 점심 싹 내려주
1878671050,로지에,,6500,"6,500원",strict,"기보다 크리미하다. 시트러스칵테일 citrus cocktail 6,500원 팔레데뗴의 #시트러스칵테일 은은하게 상큼달달하면서 시원하게 리"
1878323002,무난,휘낭시에,3800,3800원,strict,찍은 나.. 까눌레와 휘낭시에를 주문했어요 • 산딸기 까낭시에 3800원 • 코코넛 휘낭시에 (가격이 기억이 안나요..) • 주차 공간
1878323002,무난,밀크티,4500,"4,500원",strict," 깔려있는데 위기있습니다.. 분위기 메뉴판입니다! 저희는 아아 4,500원 프루티 밀크티 7,000원 주문했습니다 차 전문점이니 다음엔 "
1878323002,무난,밀크티,7000,"7,000원",strict," 분위기 메뉴판입니다! 저희는 아아 4,500원 프루티 밀크티 7,000원 주문했습니다 차 전문점이니 다음엔 차를 마셔보려고요!!! 오늘"
1878323002,무난,초코,3800,"3,800원",strict,"나열되어 있는데요 얘네들은 디피용입니다 저희는 쑥 초코 파운드 3,800원을 주문했습니다 주문하고보니 산딸기 까눌레가 유명하단걸 알았습니"
1878323002,무난,스콘,23300,"23,300원",strict,"7,000 스콘과시즌쨈 5,500 산딸기까낭시에 3,800 총 23,300원 광주 쌍촌동 감성 카페 무난 조용히 즐기는 차와 디저트 (1)"
1878323002,무난,밀크티,7000,"7,000",loose," 갤러리처럼 꾸며져 있어요~~~ 제가 주문한 메뉴는요? 호박차 7,000 프루티밀크티 7,000 스콘과시즌쨈 5,500 산딸기까낭시에 "
1878323002,무난,밀크티,5500,"5,500",loose,"뉴는요? 호박차 7,000 프루티밀크티 7,000 스콘과시즌쨈 5,500 산딸기까낭시에 3,800 총 23,300원 광주 쌍촌동 감성 "
1878323002,무난,밀크티,3800,"3,800",loose," 프루티밀크티 7,000 스콘과시즌쨈 5,500 산딸기까낭시에 3,800 총 23,300원 광주 쌍촌동 감성 카페 무난 조용히 즐기는 "
1331870519,무드165,휘낭시에,9000,"9,000원",strict,"놀라초코휘낭시에’ 입니다-! 디저트 | 두바이경유일본여행 | (9,000원) 작고 소중한 두바이(카다이프) 경유 일본(말차)여행 케이크 "
1331870519,무드165,케이크,9000,"9,000원",strict," 글 가장 하단 ‘재방문인증’에.) | 두바이경유가나여행 | (9,000원) 얼마 지나지 않아 두바이초코케이크가 나왔어요. 윗면은 카카오"
1331870519,무드165,휘낭시에,3000,"3,000원",strict,"말차케이크로 할 예정이랍니다 ㅎㅎ | 그래놀라초코휘낭시에 | (3,000원) 여전히 맛있는 휘낭시에 ⋆◡̎⋆ 달달하면서 그래놀라 덕에 식"
1331870519,무드165,말차,6000,"6,000원",strict,"하게 있는데용 저는 그린스파클링이라는 메뉴로 주문했어요 가격은 6,000원인데용 말차, 레몬 스파클링이라고 해서 너무 기대됐어요~ 디저트"
1331870519,무드165,케이크,8500,"8,500원",strict,"와 정민이케이크가 나왔습니다 임자있는 정민이케이크입니다 가격은 8,500원으로 꽤 비싼편입니다ㅜ 그래도 맛은 너무 있었어요 고구마랑 흑임"
1331870519,무드165,휘낭시에,2800,"2,800원",strict,"먹어주면 딱이었습니당 그리고 이건 누릉지 휘낭시에입니다 가격은 2,800원으로 다른 휘낭시에들보다 저렴한 편이었어요 누릉지가 들어간 휘낭"
