카페id,카페이름,가격목록,가격종류수,최소가,최대가,대표가(중앙값)
00d387858612,바울카페,"[4900, 5000, 5500, 6000]",4,4900,6000,5250
1011079389,케이크히어,"[6000, 8500]",2,6000,8500,7250
1094893375,헤이블루,"[5000, 5500, 8500, 21000]",4,5000,21000,7000
1173537642,등화,"[2500, 3500, 4000, 5500, 6000, 10000]",6,2500,10000,4750
1237288685,휘플링,[2500],1,2500,2500,2500
1331870519,무드165,"[2800, 3000, 4000, 6000, 6500, 8500, 9000]",7,2800,9000,6000
1435177650,오느래,"[3800, 5500, 6800, 7500]",4,3800,7500,6150
1494212752,퍼니스 카페앤라운지,"[3200, 3500, 4300, 4500, 4800, 5000, 6000, 6200, 6500, 7000, 7800, 8500, 12000]",13,3200,12000,6000
1534480252,빈티지양동,[8500],1,8500,8500,8500
1548495584,삼복당,[13500],1,13500,13500,13500
1560469900,블레스롤 광주상무점,[15000],1,15000,15000,15000
1682517458,도지커피,[15000],1,15000,15000,15000
1771175912,설빙 금호점,"[9900, 15500, 17500, 18900]",4,9900,18900,16500
1771225777,클레망,"[1000, 2500, 5500, 6500, 7000]",5,1000,7000,5500
1878323002,무난,"[3800, 4500, 5500, 7000, 23300]",5,3800,23300,5500
1878671050,로지에,"[3500, 4000, 4500, 5000, 6500, 10000, 10500, 12000, 12500, 13000, 34000]",11,3500,34000,10000
1891049761,자모크,"[500, 2800, 3500, 5000, 5500, 6000]",6,500,6000,4250
1972996946,슬라이폭스,"[3000, 4800, 5300, 6500, 6800, 11800, 12800]",7,3000,12800,6500
1984056722,요거얌 서구점,"[3800, 6000, 9600, 12800, 15600, 16000, 19500, 24000, 30000]",9,3800,30000,15600
2074665288,주르르케이크,"[500, 1000, 1400, 2500, 2800, 3200, 4500, 7000, 8000, 10000]",10,500,10000,3000
2a18f4eb30c5,슈가슈가슈가,"[2500, 2800, 3000, 3500, 3800, 4200, 5000]",7,2500,5000,3500
41e3d24ac086,노티드 광주상무점,"[2000, 2500, 3000, 5000, 7800, 27000]",6,2000,27000,4000
466f73888ad4,로렌베이커리카페,"[2500, 3000, 4500, 5000, 7600]",5,2500,7600,4500
680e4e5d520b,카페아리아,"[4300, 4700, 5800, 9000, 16000]",5,4300,16000,5800
706510701,아우터베이크하우스,"[4500, 5000, 5300, 5500, 5800, 6000, 7000, 15900]",8,4500,15900,5650
87f02122ad70,비비,"[6000, 11000, 25000, 40000]",4,6000,40000,18000
9167c8f77dc4,카페올모,[4500],1,4500,4500,4500
9b8dd0ff1f4b,아싸롱,"[500, 1000, 3000, 3300, 3500, 3800, 4500, 15000]",8,500,15000,3400
de395f7cce3a,예예카페,"[500, 1000, 2500, 3000, 3400, 3500, 4000, 4500, 4800, 5000, 5500, 6500, 8000, 14900, 48000]",15,500,48000,4500
