카페id,카페이름,주소,지역(구단위),좌표(lat),좌표(lng),지도링크,카페이미지url,분위기,간이유,맛,동반자,메뉴,주요메뉴,주차여부,블로그수,추천점수(0-100),추천유형,추천태그,추천문구,가격요약,가격목록,키워드TOP40
41e3d24ac086,노티드 광주상무점,광주 서구 운천로 261,서구,35.15544451976351,126.85375661058676,nan,,"넓음, 감성, 키즈/가족친화","대표메뉴: 말차, 초코, 라떼 / 분위기: 넓음, 감성 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능","상큼, 쌉싸름/다크, 달콤","데이트, 단체/대관, 가족","말차, 초코, 라떼, 케이크, 바닐라, 아메리카노, 카페라떼, 에이드","말차, 초코, 라떼",가능,9,72.0,데이트,"넓음,감성,상큼,쌉싸름/다크,데이트","데이트 추천 · 대표메뉴: 말차, 초코, 라떼 / 분위기: 넓음, 감성 / 맛: 상큼, 쌉싸름/다크 / 주차: 가능",2000~27000원(대표 4000원),"[2000, 2500, 3000, 5000, 7800, 27000]","[[""도넛"", 170], [""크림"", 96], [""상무"", 64], [""상무지구"", 61], [""노티드"", 48], [""먹다"", 44], [""말차"", 32], [""매장"", 28], [""초코"", 25], [""치즈"", 24], [""라떼"", 21], [""딸기"", 20], [""서구"", 19], [""키리"", 19], [""스위첸"", 18], [""퍼스티넘"", 18], [""빵"", 18], [""케이크"", 17], [""굿즈"", 16], [""달콤"", 16], [""저당"", 16], [""달달하다"", 15], [""소금"", 15], [""knotted"", 15], [""꾸덕"", 15], [""kiri"", 15], [""데이트"", 14], [""예약"", 13], [""바닐라"", 13], [""종류"", 13], [""우유"", 13], [""즐기다"", 12], [""선택"", 12], [""포장"", 12], [""좋아하다"", 12], [""시그니처"", 12], [""고르다"", 11], [""공원"", 11], [""클라우드"", 11], [""캐릭터"", 10]]"
1086941027,노티드 광주신세계점,광주 서구 무진대로 932,서구,35.1607668,126.8828552,https://pcmap.place.naver.com/place/1086941027/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251114_142%2F176310245584427FK0_PNG%2F1.png,"아늑, 모던, 넓음","대표메뉴: 말차, 초코, 라떼 / 분위기: 아늑, 모던 / 맛: 쌉싸름/다크, 상큼 / 주차: 가능","쌉싸름/다크, 상큼, 달콤","단체/대관, 데이트, 가족","말차, 초코, 라떼, 에이드, 케이크, 피스타치오, 푸딩, 아메리카노","말차, 초코, 라떼",가능,6,62.0,데이트,"아늑,모던,쌉싸름/다크,상큼,단체/대관","데이트 추천 · 대표메뉴: 말차, 초코, 라떼 / 분위기: 아늑, 모던 / 맛: 쌉싸름/다크, 상큼 / 주차: 가능",,[],"[[""말차"", 99], [""도넛"", 73], [""딸기"", 60], [""먹다"", 48], [""크림"", 46], [""광주신세계"", 30], [""노티드"", 26], [""카러플"", 21], [""달콤"", 20], [""이달"", 18], [""좋아하다"", 17], [""제주"", 16], [""초코"", 15], [""라떼"", 14], [""지하"", 13], [""에이드"", 13], [""남편"", 12], [""빵"", 12], [""콜라"", 12], [""서구"", 11], [""신세계백화점"", 11], [""조합"", 11], [""여름"", 11], [""무진대로"", 10], [""케이크"", 10], [""파티"", 10], [""저당"", 10], [""옥수수"", 10], [""신상"", 9], [""주차"", 9], [""카트"", 9], [""라이더"", 9], [""포장"", 8], [""즐기다"", 8], [""주점"", 8], [""가능"", 8], [""종류"", 8], [""상큼"", 8], [""매장"", 8], [""유자"", 8]]"
1530156292,다정한작업실,광주 서구 상무버들로53번길 22-1,서구,35.1632513,126.8565611,https://pcmap.place.naver.com/place/1530156292/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181231_154%2F1546219338596iUIlr_JPEG%2FqKQ7R9LuC0MEGP0G-kdG-aom.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
805f1e09b10f,도르르컴퍼니,광주 서구 화개중앙로 139,서구,35.1304648590107,126.849875591322,nan,,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1682517458,도지커피,광주 서구 회재로 835,서구,35.1192854,126.8567136,https://pcmap.place.naver.com/place/1682517458/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211016_80%2F1634353421420hKa7X_JPEG%2FVDsRXgNJpnl9-A77-ZNyyfkj.jpg,"감성, 조용, 모던","대표메뉴: 아메리카노, 빙수 / 분위기: 감성, 조용 / 맛: 담백 / 주차: 가능",담백,"가족, 단체/대관","아메리카노, 빙수","아메리카노, 빙수",가능,1,26.8,가족,"감성,조용,담백,가족","가족 추천 · 대표메뉴: 아메리카노, 빙수 / 분위기: 감성, 조용 / 맛: 담백 / 주차: 가능",15000~15000원(대표 15000원),[15000],"[[""주차"", 3], [""아메리카노"", 3], [""시간"", 3], [""카페인"", 3], [""화장실"", 2], [""유아"", 2], [""의자"", 2], [""늦다"", 2], [""편하다"", 2], [""접근"", 2], [""감성"", 2], [""이상"", 2], [""빵"", 2], [""저녁"", 2], [""오후"", 2], [""시간대"", 2], [""깔끔"", 2], [""공간"", 2], [""내다"", 1], [""사다"", 1], [""영업시간"", 1], [""전화"", 1], [""번호"", 1], [""단체"", 1], [""가능"", 1], [""무선"", 1], [""인터넷"", 1], [""구분"", 1], [""포장"", 1], [""배달"", 1], [""간편"", 1], [""결제"", 1], [""서구"", 1], [""회재"", 1], [""안녕"", 1], [""피치"", 1], [""운영"", 1], [""정도"", 1], [""서부"", 1], [""농수산물"", 1]]"
1173537642,등화,광주 서구 백석길 22-3,서구,35.1423802,126.8517727,https://pcmap.place.naver.com/place/1173537642/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241208_107%2F1733668444001fio9S_JPEG%2FKakaoTalk_20241207_133653313.jpg,"감성, 넓음, 키즈/가족친화","대표메뉴: 아메리카노, 케이크, 라떼 / 분위기: 감성, 넓음 / 맛: 상큼, 달콤 / 주차: 가능","상큼, 달콤, 고소","단체/대관, 데이트, 가족","아메리카노, 케이크, 라떼, 바닐라, 타르트, 초코, 에이드","아메리카노, 케이크, 라떼",가능,10,71.5,데이트,"감성,넓음,상큼,달콤,단체/대관","데이트 추천 · 대표메뉴: 아메리카노, 케이크, 라떼 / 분위기: 감성, 넓음 / 맛: 상큼, 달콤 / 주차: 가능",2500~10000원(대표 4750원),"[2500, 3500, 4000, 5500, 6000, 10000]","[[""과일"", 121], [""찹쌀떡"", 102], [""앙금"", 70], [""모찌"", 65], [""먹다"", 65], [""딸기"", 62], [""팥"", 50], [""포장"", 38], [""가능"", 26], [""서구"", 21], [""귤"", 20], [""파인애플"", 20], [""달달하다"", 19], [""떡"", 16], [""무화과"", 16], [""상무대"", 15], [""주차"", 15], [""좋아하다"", 15], [""선물"", 15], [""바나나"", 14], [""키위"", 14], [""유명"", 14], [""어울리다"", 14], [""매장"", 14], [""시간"", 13], [""예약"", 13], [""작다"", 12], [""정도"", 11], [""골드"", 11], [""쌍촌역"", 11], [""수제"", 10], [""드시다"", 10], [""소품"", 10], [""내부"", 9], [""배달"", 9], [""복숭아"", 9], [""인형"", 8], [""구경"", 8], [""판매"", 8], [""당일"", 8]]"
1119277570,디저트바이문,광주 서구 개금길 75,서구,35.1233761,126.8492069,https://pcmap.place.naver.com/place/1119277570/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250508_205%2F174665519781502Orp_JPEG%2FIMG_1718.jpeg,"조용, 아늑, 넓음","대표메뉴: 케이크, 아메리카노, 스콘 / 분위기: 조용, 아늑 / 맛: 상큼, 달콤 / 주차: 가능","상큼, 달콤, 고소","데이트, 가족, 단체/대관","케이크, 아메리카노, 스콘, 휘낭시에, 라떼","케이크, 아메리카노, 스콘",가능,2,51.7,데이트,"조용,아늑,상큼,달콤,데이트","데이트 추천 · 대표메뉴: 케이크, 아메리카노, 스콘 / 분위기: 조용, 아늑 / 맛: 상큼, 달콤 / 주차: 가능",,[],"[[""케이크"", 20], [""이문"", 14], [""느낌"", 8], [""초록"", 8], [""서구"", 6], [""입구"", 5], [""먹다"", 5], [""종류"", 5], [""의자"", 5], [""테라스"", 5], [""망고"", 5], [""포장"", 5], [""조용"", 4], [""테이블"", 4], [""자리"", 4], [""앉다"", 4], [""분위기"", 4], [""신상"", 4], [""주택"", 3], [""단지"", 3], [""병원"", 3], [""아메리카노"", 3], [""올라가다"", 3], [""밤"", 3], [""따뜻"", 3], [""시간"", 3], [""생일"", 3], [""과자"", 3], [""마음"", 3], [""주차"", 3], [""나무"", 3], [""편안"", 3], [""구경"", 3], [""모양"", 3], [""화장실"", 3], [""좌석"", 3], [""다르다"", 3], [""작다"", 2], [""요양"", 2], [""세우다"", 2]]"
1820989525,딥다크커피,광주 서구 상무오월로3번길 24-14,서구,35.1574204,126.8603211,https://pcmap.place.naver.com/place/1820989525/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250626_205%2F17509178765418xjHf_JPEG%2F1000039631.jpg,,근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,,,,,0,0.0,기본,,기본 추천 · 근거 텍스트가 부족합니다(블로그/설명 추가 수집 권장).,,[],[]
1011032056,라이크마이베이커리,광주 서구 무진대로 921,서구,35.162317,126.8814106,https://pcmap.place.naver.com/place/1011032056/home,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250423_247%2F1745373808659150Vw_JPEG%2FIMG_6946.jpeg,"아늑, 넓음, 뷰/통창","대표메뉴: 아이스크림, 푸딩, 에이드 / 분위기: 아늑, 넓음 / 맛: 달콤, 고소 / 주차: 가능","달콤, 고소, 단짠/짭짤","데이트, 가족, 혼카페/작업","아이스크림, 푸딩, 에이드, 아메리카노, 에스프레소, 바닐라, 소금빵","아이스크림, 푸딩, 에이드",가능,2,45.1,데이트,"아늑,넓음,달콤,고소,데이트","데이트 추천 · 대표메뉴: 아이스크림, 푸딩, 에이드 / 분위기: 아늑, 넓음 / 맛: 달콤, 고소 / 주차: 가능",,[],"[[""라이크"", 11], [""마이"", 11], [""주차장"", 8], [""벽돌"", 7], [""내부"", 7], [""광천동"", 6], [""먹다"", 5], [""아이스크림"", 5], [""달다"", 5], [""가능"", 5], [""서구"", 4], [""좋아하다"", 4], [""이쁘다"", 4], [""에이드"", 4], [""푸딩"", 4], [""빵"", 4], [""공간"", 4], [""corp."", 3], [""주차"", 3], [""입구"", 3], [""취향"", 3], [""이상"", 3], [""편하다"", 3], [""사람"", 3], [""아메리카노"", 3], [""브리오슈"", 3], [""위주"", 3], [""화장실"", 3], [""이동"", 2], [""오케이"", 2], [""무진대로"", 2], [""lmb"", 2], [""건물"", 2], [""장소"", 2], [""나무"", 2], [""신나다"", 2], [""기다리다"", 2], [""따뜻"", 2], [""햇볕"", 2], [""느낌"", 2]]"
466f73888ad4,로렌베이커리카페,광주 서구 화개1로24번길 10,서구,35.1246037203127,126.858472225395,nan,,"모던, 넓음, 뷰/통창","대표메뉴: 아메리카노, 케이크, 식빵 / 분위기: 모던, 넓음 / 맛: 담백, 촉촉/쫀득","담백, 촉촉/쫀득","가족, 데이트","아메리카노, 케이크, 식빵, 샌드위치, 에이드, 롤케이크, 크림빵, 라떼","아메리카노, 케이크, 식빵",,3,35.3,데이트,"모던,넓음,담백,촉촉/쫀득,가족","데이트 추천 · 대표메뉴: 아메리카노, 케이크, 식빵 / 분위기: 모던, 넓음 / 맛: 담백, 촉촉/쫀득",2500~7600원(대표 4500원),"[2500, 3000, 4500, 5000, 7600]","[[""빵"", 24], [""로렌"", 16], [""금호동"", 12], [""빵집"", 9], [""오픈"", 6], [""서구"", 6], [""아파트"", 6], [""상가"", 6], [""신상"", 5], [""화개"", 5], [""사다"", 5], [""먹다"", 5], [""부영"", 4], [""프랑스"", 4], [""조명"", 4], [""가격"", 4], [""corp."", 3], [""입구"", 3], [""나다"", 3], [""키오스크"", 3], [""사장"", 3], [""계시다"", 3], [""깔끔"", 3], [""생기다"", 3], [""종류"", 3], [""포장"", 3], [""앉다"", 3], [""아메리카노"", 3], [""요거트"", 3], [""장점"", 3], [""담양"", 3], [""수족관"", 3], [""매장"", 3], [""우유"", 3], [""얼마"", 2], [""로렌시아"", 2], [""주차"", 2], [""근처"", 2], [""동네"", 2], [""기분"", 2]]"
