token,count
케이크,1132
먹다,875
크림,487
서구,467
가능,406
상무지구,318
주차,311
빵,293
딸기,285
매장,268
도넛,243
분위기,231
느낌,231
주차장,230
종류,229
예약,220
과일,220
내부,219
시간,214
말차,212
좋아하다,207
치즈,205
라떼,205
포장,204
공간,203
차,199
초코,192
자리,192
corp.,184
테이블,184
마카롱,184
하우스,171
아메리카노,162
달달하다,146
준비,143
나다,139
즐기다,137
드리다,136
사장,136
요거트,135
마시다,134
크로아상,133
고르다,131
영업시간,130
넓다,126
상무,124
선물,124
정도,119
사다,114
친구,111
단체,110
깔끔,106
가격,105
판매,104
찹쌀떡,104
달콤,103
안녕,100
무드,100
따뜻,100
쿠키,97
수제,97
아리아,97
인테리어,96
바울,96
편하다,95
앉다,95
크다,95
달다,95
망고,95
사람,94
첨단,93
다녀오다,92
근처,92
와인,92
참고,91
폭스,91
마음,89
샌드위치,89
유명,88
메뉴판,88
감성,87
아이,85
소금,84
픽업,84
휴무,83
세트,82
아이스,82
진하다,81
가게,80
시키다,79
보내다,79
작다,75
구매,75
드시다,75
노티드,74
건물,74
올라가다,74
원두,74
레터,74
재생,73
오픈,73
무료,73
에이드,72
앙금,72
어울리다,71
화장실,71
오더,70
슬다,69
바닐라,68
조합,68
입구,68
상가,67
모르다,66
처음,66
시그니처,66
블루베리,66
이상,66
모찌,66
관리,66
스콘,65
아이스크림,65
우유,64
팥,64
정보,63
배달,63
식감,63
당일,63
선택,62
라스트,62
간식,62
농성동,62
구경,61
들어오다,60
쓰다,60
전체,60
신상,60
비주얼,59
버터,59
조명,59
전화,59
담다,58
기분,58
외관,58
대형,58
벚꽃,58
동반,58
천변,58
주말,57
여유,56
맞다,56
싸다,56
밤,56
생기다,55
데이트,55
편안,55
의자,55
베이글,55
고민,54
복숭아,54
지하,53
고구마,52
소품,52
저녁,52
운영,51
개인,51
카페인,51
퍼니스,51
취향,50
특별,50
생일,50
인기,49
좌석,49
사용,49
위하다,49
블루,49
인절미,48
식사,48
기대,48
자체,48
넣다,48
시작,48
내다,47
다르다,47
남기다,47
문의,47
고소하다,47
상무대,47
드립,47
꾸미다,46
감사,46
야외,46
토스트,46
고급,45
힐링,45
오후,45
남다,45
기본,45
가지다,45
안내,45
디자인,45
걱정,44
팔로워,44
팔로잉,44
게시물,44
기다리다,44
만족,44
잼,44
오랜만,44
추가,44
본점,44
나가다,43
행복,43
모습,43
카운터,43
박스,43
궁금,43
펴다,43
상큼,43
가족,43
은은,43
확인,43
이벤트,43
날씨,43
정기,43
라운지,43
파티,42
레몬,42
제작,42
평일,41
올리다,41
보관,41
시즌,41
여름,41
필요,41
휘낭시에,41
브런치,41
시원,40
재료,40
늦다,40
골목,40
조각,40
무인,40
만나다,39
따르다,39
빙수,39
어우러지다,39
사랑,39
신선,39
놀다,39
일요일,39
체리,39
설빙,39
맛보다,38
최고,38
조화,38
고소,38
과자,38
초콜릿,38
인스타,38
애견,38
웨이팅,37
스무디,37
구성,37
떡,37
전문점,37
프랑스,37
안쪽,36
찌다,36
방법,36
넘다,36
주변,36
체험,36
챙기다,35
촉촉,35
꾸덕,35
남편,35
필링,35
풍미,35
화이트,35
테라스,35
혼자,35
친절,35
두바이,35
카드,35
키오스크,34
매력,34
진행,34
월요일,34
쿠폰,34
곳곳,34
아늑,34
번호,34
엄마,34
음식,34
조용,34
크로플,34
장소,33
점심,33
재미,33
지다,33
